Strategy,Side,PnL,Time,Reason
TREND,SHORT,-3.4,2024-12-23 03:15:00,SL_TRAIL
TREND,LONG,-2.57,2024-12-23 06:30:00,SL_TRAIL
SWING,LONG,3.0,2024-12-23 08:00:00,TP_HIT
SWING,LONG,3.0,2024-12-23 08:00:00,TP_HIT
SWING,LONG,3.0,2024-12-23 08:00:00,TP_HIT
TREND,LONG,3.3,2024-12-23 13:30:00,SL_TRAIL
SHADOW,LONG,1.785162769956943,2024-12-23 14:00:00,CASHFLOW
TREND,LONG,-0.7,2024-12-23 14:45:00,SL_TRAIL
SHADOW,SHORT,1.848534397724658,2024-12-23 14:45:00,CASHFLOW
SWING,LONG,-2.0,2024-12-23 15:15:00,SL_HIT
SWING,LONG,3.0,2024-12-23 16:15:00,TP_HIT
SWING,LONG,3.0,2024-12-23 16:30:00,TP_HIT
TREND,LONG,12.47,2024-12-24 01:00:00,SL_TRAIL
SWING,LONG,3.0,2024-12-24 04:30:00,TP_HIT
TREND,LONG,-0.85,2024-12-24 05:30:00,SL_TRAIL
TREND,LONG,-0.18,2024-12-24 07:45:00,SL_TRAIL
SWING,LONG,-2.0,2024-12-24 09:00:00,SL_HIT
SHADOW,LONG,23.43313281190509,2024-12-24 09:00:00,SHADOW_TRAIL
TREND,LONG,-1.64,2024-12-24 09:15:00,SL_TRAIL
SWING,LONG,-2.0,2024-12-24 09:15:00,SL_HIT
SWING,LONG,-2.0,2024-12-24 09:45:00,SL_HIT
SHADOW,LONG,2.879150713045622,2024-12-24 13:30:00,CASHFLOW
SWING,LONG,3.0,2024-12-24 15:30:00,TP_HIT
SHADOW,LONG,3.910737980098707,2024-12-24 15:30:00,CASHFLOW
TREND,LONG,-0.32,2024-12-24 20:00:00,SL_TRAIL
SHADOW,LONG,1.557220644225275,2024-12-24 23:30:00,CASHFLOW
TREND,LONG,-1.18,2024-12-25 00:15:00,SL_TRAIL
SWING,LONG,-2.0,2024-12-25 02:30:00,SL_HIT
SWING,LONG,3.0,2024-12-25 05:00:00,TP_HIT
SWING,LONG,3.0,2024-12-25 06:15:00,TP_HIT
SWING,LONG,3.0,2024-12-25 06:15:00,TP_HIT
SHADOW,LONG,3.4083645780034044,2024-12-25 06:15:00,CASHFLOW
TREND,LONG,0.14,2024-12-25 09:00:00,SL_TRAIL
TREND,LONG,-0.27,2024-12-25 11:45:00,SL_TRAIL
SWING,LONG,-2.0,2024-12-25 16:30:00,SL_HIT
SWING,LONG,-2.0,2024-12-25 16:30:00,SL_HIT
SHADOW,SHORT,3.3306385216997736,2024-12-25 16:30:00,CASHFLOW
TREND,LONG,-1.26,2024-12-25 20:30:00,SL_TRAIL
SWING,LONG,-2.0,2024-12-26 00:30:00,SL_HIT
SWING,LONG,-2.0,2024-12-26 00:45:00,SL_HIT
SWING,LONG,-2.0,2024-12-26 03:00:00,SL_HIT
SWING,LONG,-2.0,2024-12-26 03:15:00,SL_HIT
TREND,SHORT,4.23,2024-12-26 08:00:00,SL_TRAIL
SHADOW,SHORT,4.870029603815938,2024-12-26 08:00:00,CASHFLOW
TREND,SHORT,-0.43,2024-12-26 11:30:00,SL_TRAIL
TREND,SHORT,2.05,2024-12-26 21:30:00,SL_TRAIL
TREND,SHORT,-1.29,2024-12-26 22:15:00,SL_TRAIL
TREND,SHORT,-0.62,2024-12-27 01:00:00,SL_TRAIL
SWING,SHORT,-2.0,2024-12-27 01:30:00,SL_HIT
SWING,SHORT,-2.0,2024-12-27 01:30:00,SL_HIT
SWING,SHORT,-2.0,2024-12-27 01:30:00,SL_HIT
SHADOW,SHORT,3.1859253113048682,2024-12-27 01:30:00,SHADOW_TRAIL
SHADOW,SHORT,9.518710381309074,2024-12-27 01:30:00,SHADOW_TRAIL
SWING,SHORT,3.0,2024-12-27 04:45:00,TP_HIT
SHADOW,SHORT,3.2441367582606393,2024-12-27 05:00:00,CASHFLOW
SWING,SHORT,3.0,2024-12-27 07:30:00,TP_HIT
SWING,SHORT,3.0,2024-12-27 07:30:00,TP_HIT
TREND,SHORT,-0.28,2024-12-27 08:00:00,SL_TRAIL
SWING,SHORT,-2.0,2024-12-27 09:00:00,SL_HIT
SWING,SHORT,3.0,2024-12-27 12:15:00,TP_HIT
SWING,SHORT,3.0,2024-12-27 12:45:00,TP_HIT
SWING,SHORT,3.0,2024-12-27 13:00:00,TP_HIT
SHADOW,SHORT,4.72275830480988,2024-12-27 13:00:00,CASHFLOW
TREND,SHORT,2.46,2024-12-27 14:30:00,SL_TRAIL
TREND,SHORT,-0.18,2024-12-27 17:30:00,SL_TRAIL
SHADOW,SHORT,3.7553185268110307,2024-12-27 19:15:00,CASHFLOW
TREND,SHORT,0.82,2024-12-28 00:00:00,SL_TRAIL
SHADOW,SHORT,1.9440406546224214,2024-12-28 01:15:00,CASHFLOW
SWING,SHORT,3.0,2024-12-28 06:45:00,TP_HIT
TREND,SHORT,1.29,2024-12-28 07:00:00,SL_TRAIL
TREND,SHORT,-0.82,2024-12-28 09:15:00,SL_TRAIL
SWING,SHORT,-2.0,2024-12-28 12:00:00,SL_HIT
SWING,SHORT,-2.0,2024-12-28 12:00:00,SL_HIT
SWING,SHORT,-2.0,2024-12-28 12:30:00,SL_HIT
