id_fvg,type,top,bottom,created_at,filled
3m_147,BULLISH,356.3,275.22,1734002100000.0,False
3m_168,BEARISH,356.3,356.29,1734005880000.0,False
3m_294,BULLISH,366.98,356.29,1734028560000.0,False
3m_1720,BULLISH,377.58,366.98,1734285240000.0,False
3m_1721,BULLISH,377.58,366.98,1734285420000.0,False
3m_2169,BULLISH,383.0,377.58,1734366060000.0,False
3m_2170,BULLISH,383.0,377.58,1734366240000.0,False
3m_2266,BEARISH,383.0,382.0,1734383520000.0,False
3m_2267,BEARISH,383.0,382.0,1734383700000.0,False
3m_2442,BULLISH,382.05,382.0,1734415200000.0,False
3m_2443,BULLISH,382.05,382.0,1734415380000.0,False
3m_2477,BEARISH,382.05,382.0,1734421500000.0,False
3m_2577,BULLISH,392.3,382.0,1734439500000.0,False
3m_2578,BULLISH,392.3,389.64,1734439680000.0,False
3m_2642,BEARISH,392.3,382.0,1734451200000.0,False
3m_2883,BEARISH,382.0,360.0,1734494580000.0,False
3m_3387,BULLISH,367.0,360.0,1734585300000.0,False
3m_3637,BEARISH,367.0,286.0,1734630300000.0,False
3m_3982,BEARISH,286.0,275.23,1734692400000.0,False
3m_4563,BULLISH,300.0,275.23,1734796980000.0,False
3m_5509,BEARISH,300.0,299.9,1734967260000.0,False
3m_5515,BULLISH,325.74,299.9,1734968340000.0,False
3m_5516,BULLISH,325.74,299.9,1734968520000.0,False
3m_5553,BULLISH,350.0,325.74,1734975180000.0,False
3m_5641,BULLISH,362.42,350.0,1734991020000.0,False
3m_5642,BULLISH,362.42,350.0,1734991200000.0,False
3m_5667,BULLISH,381.34,362.42,1734995700000.0,False
3m_5732,BEARISH,381.34,349.99,1735007400000.0,False
3m_5733,BEARISH,381.34,349.99,1735007580000.0,False
3m_6457,BULLISH,353.02,349.99,1735137900000.0,False
3m_7803,BULLISH,360.08,353.02,1735380180000.0,False
3m_7805,BEARISH,360.08,353.02,1735380540000.0,False
3m_9243,BEARISH,353.02,311.42,1735639380000.0,False
3m_9984,BULLISH,312.62,311.42,1735772760000.0,False
3m_10232,BEARISH,312.62,309.7,1735817400000.0,False
3m_10755,BULLISH,350.0,309.7,1735911540000.0,False
3m_10852,BULLISH,350.05,350.0,1735929000000.0,False
3m_11426,BULLISH,385.05,350.05,1736032320000.0,False
3m_11427,BULLISH,385.05,350.05,1736032500000.0,False
3m_11695,BEARISH,385.05,350.05,1736080740000.0,False
3m_11696,BEARISH,385.05,344.79,1736080920000.0,False
3m_11698,BULLISH,345.24,344.79,1736081280000.0,False
3m_11700,BEARISH,345.24,345.08,1736081640000.0,False
3m_12213,BULLISH,345.09,345.08,1736173980000.0,False
3m_12273,BEARISH,345.09,345.0,1736184780000.0,False
3m_12274,BEARISH,345.09,345.0,1736184960000.0,False
3m_12278,BULLISH,345.09,345.0,1736185680000.0,False
3m_12283,BEARISH,345.09,345.0,1736186580000.0,False
3m_12372,BULLISH,345.09,345.0,1736202600000.0,False
3m_12373,BULLISH,345.09,345.0,1736202780000.0,False
3m_12421,BEARISH,345.09,345.0,1736211420000.0,False
3m_12424,BULLISH,345.09,345.0,1736211960000.0,False
3m_12425,BULLISH,345.09,345.0,1736212140000.0,False
3m_12460,BEARISH,345.09,345.0,1736218440000.0,False
3m_12548,BULLISH,345.1,345.0,1736234280000.0,False
3m_12709,BEARISH,345.1,320.05,1736263260000.0,False
3m_12710,BEARISH,345.1,320.05,1736263440000.0,False
3m_12730,BULLISH,345.1,320.05,1736267040000.0,False
3m_12966,BEARISH,345.1,275.23,1736309520000.0,False
3m_12967,BEARISH,345.1,275.23,1736309700000.0,False
3m_15012,BULLISH,276.61,275.23,1736677800000.0,False
3m_15013,BULLISH,276.61,275.23,1736677980000.0,False
3m_15591,BEARISH,276.61,275.22,1736782020000.0,False
3m_16385,BEARISH,275.22,275.0,1736924940000.0,False
3m_16387,BULLISH,290.0,275.0,1736925300000.0,False
3m_16396,BEARISH,290.0,275.0,1736926920000.0,False
3m_16402,BULLISH,296.0,275.0,1736928000000.0,False
3m_16403,BULLISH,296.0,275.0,1736928180000.0,False
3m_16409,BEARISH,296.0,292.0,1736929260000.0,False
3m_16414,BEARISH,292.0,275.0,1736930160000.0,False
3m_16542,BULLISH,300.23,275.0,1736953200000.0,False
3m_16561,BEARISH,300.23,275.0,1736956620000.0,False
3m_16618,BULLISH,345.1,300.23,1736966880000.0,False
3m_17203,BEARISH,345.1,310.1,1737072180000.0,False
3m_17251,BULLISH,345.1,310.1,1737080820000.0,False
3m_17451,BEARISH,345.1,300.0,1737116820000.0,False
3m_17471,BULLISH,345.1,300.0,1737120420000.0,False
3m_17578,BEARISH,345.1,326.06,1737139680000.0,False
3m_17579,BEARISH,345.1,326.06,1737139860000.0,False
3m_17683,BULLISH,345.1,326.06,1737158580000.0,False
3m_19340,BULLISH,371.65,345.1,1737456840000.0,False
3m_19355,BEARISH,371.65,371.48,1737459540000.0,False
3m_19356,BEARISH,371.65,361.48,1737459720000.0,False
3m_19358,BEARISH,361.48,361.45,1737460080000.0,False
3m_19444,BEARISH,361.45,322.6,1737475560000.0,False
3m_19606,BULLISH,368.82,322.6,1737504720000.0,False
3m_19607,BULLISH,368.82,322.6,1737504900000.0,False
3m_19610,BULLISH,369.05,368.82,1737505440000.0,False
3m_19611,BULLISH,369.05,368.82,1737505620000.0,False
3m_19757,BEARISH,369.05,338.03,1737531900000.0,False
3m_19861,BULLISH,353.61,338.03,1737550620000.0,False
3m_19862,BULLISH,353.61,338.03,1737550800000.0,False
3m_20082,BEARISH,353.61,350.0,1737590400000.0,False
3m_20223,BEARISH,350.0,344.45,1737615780000.0,False
3m_20224,BEARISH,350.0,344.45,1737615960000.0,False
3m_20353,BEARISH,344.45,328.36,1737639180000.0,False
3m_20542,BEARISH,328.36,324.73,1737673200000.0,False
3m_20726,BULLISH,327.01,324.73,1737706320000.0,False
3m_20844,BULLISH,352.6,327.01,1737727560000.0,False
3m_20845,BULLISH,352.6,327.01,1737727740000.0,False
3m_21066,BEARISH,352.6,326.75,1737767520000.0,False
3m_21122,BULLISH,338.0,326.75,1737777600000.0,False
3m_21485,BULLISH,380.0,338.0,1737842940000.0,False
3m_21486,BULLISH,380.0,338.0,1737843120000.0,False
3m_21612,BEARISH,380.0,361.0,1737865800000.0,False
3m_21622,BULLISH,380.0,361.0,1737867600000.0,False
3m_21633,BEARISH,380.0,361.0,1737869580000.0,False
3m_21775,BEARISH,361.0,338.0,1737895140000.0,False
3m_21923,BULLISH,380.0,338.0,1737921780000.0,False
3m_21924,BULLISH,380.0,338.0,1737921960000.0,False
3m_22003,BEARISH,380.0,322.76,1737936180000.0,False
3m_22702,BEARISH,322.76,300.71,1738062000000.0,False
3m_22824,BEARISH,300.71,294.0,1738083960000.0,False
3m_22825,BEARISH,300.71,294.0,1738084140000.0,False
3m_22828,BEARISH,294.0,292.0,1738084680000.0,False
3m_22829,BEARISH,292.0,282.0,1738084860000.0,False
3m_22834,BULLISH,286.0,282.0,1738085760000.0,False
3m_22839,BEARISH,286.0,284.0,1738086660000.0,False
3m_22840,BEARISH,286.0,284.0,1738086840000.0,False
3m_22842,BEARISH,284.0,282.0,1738087200000.0,False
3m_22844,BULLISH,284.0,282.0,1738087560000.0,False
3m_22873,BEARISH,284.0,282.0,1738092780000.0,False
3m_22888,BULLISH,300.71,282.0,1738095480000.0,False
3m_22889,BULLISH,300.71,282.0,1738095660000.0,False
3m_22934,BEARISH,300.71,279.25,1738103760000.0,False
3m_23065,BULLISH,282.0,279.25,1738127340000.0,False
3m_23098,BULLISH,308.0,282.0,1738133280000.0,False
3m_23099,BULLISH,310.0,308.0,1738133460000.0,False
3m_23564,BEARISH,310.0,303.13,1738217160000.0,False
3m_23857,BULLISH,305.0,303.13,1738269900000.0,False
3m_23860,BEARISH,305.0,300.0,1738270440000.0,False
3m_24260,BULLISH,380.0,300.0,1738342440000.0,False
3m_24273,BEARISH,380.0,344.17,1738344780000.0,False
3m_24279,BULLISH,380.0,344.17,1738345860000.0,False
3m_24426,BEARISH,380.0,334.34,1738372320000.0,False
3m_24427,BEARISH,380.0,334.34,1738372500000.0,False
3m_24601,BEARISH,334.34,316.0,1738403820000.0,False
3m_24622,BEARISH,316.0,314.0,1738407600000.0,False
3m_24861,BULLISH,316.0,314.0,1738450620000.0,False
3m_24868,BULLISH,334.34,316.0,1738451880000.0,False
3m_24881,BEARISH,314.0,294.0,1738454220000.0,False
3m_24909,BULLISH,334.34,294.0,1738459260000.0,False
3m_25241,BEARISH,334.34,238.51,1738519020000.0,False
3m_25342,BEARISH,238.51,233.22,1738537200000.0,False
3m_25343,BEARISH,238.51,233.22,1738537380000.0,False
3m_25448,BEARISH,233.22,190.0,1738556280000.0,False
3m_25576,BULLISH,239.04,190.0,1738579320000.0,False
3m_25577,BULLISH,239.04,190.0,1738579500000.0,False
3m_25603,BEARISH,239.04,238.68,1738584180000.0,False
3m_25607,BULLISH,240.6,238.68,1738584900000.0,False
3m_25622,BEARISH,240.6,239.04,1738587600000.0,False
3m_25623,BEARISH,240.6,239.04,1738587780000.0,False
