id_fvg,type,top,bottom,created_at,filled
4h_2,BULLISH,356.29,275.22,1734004800000.0,False
4h_4,BULLISH,366.98,356.3,1734033600000.0,False
4h_22,BULLISH,377.58,366.98,1734292800000.0,False
4h_28,BULLISH,382.0,377.58,1734379200000.0,False
4h_37,BEARISH,382.0,360.0,1734508800000.0,False
4h_43,BULLISH,367.0,360.0,1734595200000.0,False
4h_46,BEARISH,367.0,286.0,1734638400000.0,False
4h_50,BEARISH,286.0,275.23,1734696000000.0,False
4h_58,BULLISH,300.0,275.23,1734811200000.0,False
4h_69,BULLISH,325.74,300.0,1734969600000.0,False
4h_70,BULLISH,350.0,328.65,1734984000000.0,False
4h_72,BEARISH,350.0,349.99,1735012800000.0,False
4h_81,BULLISH,353.02,349.99,1735142400000.0,False
4h_116,BEARISH,353.02,311.42,1735646400000.0,False
4h_125,BULLISH,312.62,311.42,1735776000000.0,False
4h_128,BEARISH,312.62,309.7,1735819200000.0,False
4h_135,BULLISH,350.0,309.7,1735920000000.0,False
4h_136,BULLISH,350.05,350.0,1735934400000.0,False
4h_143,BULLISH,385.05,350.05,1736035200000.0,False
4h_147,BEARISH,385.05,345.08,1736092800000.0,False
4h_157,BULLISH,345.1,345.09,1736236800000.0,False
4h_163,BEARISH,345.1,275.23,1736323200000.0,False
4h_188,BULLISH,276.61,275.23,1736683200000.0,False
4h_195,BEARISH,276.61,275.22,1736784000000.0,False
4h_222,BULLISH,345.1,326.06,1737172800000.0,False
4h_242,BULLISH,361.45,345.1,1737460800000.0,False
4h_244,BEARISH,361.45,322.6,1737489600000.0,False
4h_246,BULLISH,338.03,322.6,1737518400000.0,False
4h_249,BULLISH,353.61,338.03,1737561600000.0,False
4h_251,BEARISH,353.61,350.0,1737590400000.0,False
4h_253,BEARISH,350.0,344.45,1737619200000.0,False
4h_255,BEARISH,344.45,328.36,1737648000000.0,False
4h_257,BEARISH,328.36,324.73,1737676800000.0,False
4h_260,BULLISH,327.01,324.73,1737720000000.0,False
4h_261,BULLISH,352.6,339.0,1737734400000.0,False
4h_269,BULLISH,380.0,338.0,1737849600000.0,False
4h_271,BEARISH,380.0,361.0,1737878400000.0,False
4h_273,BEARISH,361.0,338.0,1737907200000.0,False
4h_276,BEARISH,338.0,322.76,1737950400000.0,False
4h_284,BEARISH,322.76,300.71,1738065600000.0,False
4h_289,BULLISH,310.0,279.25,1738137600000.0,False
4h_295,BEARISH,310.0,303.13,1738224000000.0,False
4h_304,BULLISH,380.0,300.0,1738353600000.0,False
4h_306,BEARISH,380.0,334.34,1738382400000.0,False
4h_308,BEARISH,334.34,314.0,1738411200000.0,False
4h_316,BEARISH,334.34,238.51,1738526400000.0,False
4h_317,BEARISH,238.51,233.22,1738540800000.0,False
4h_320,BULLISH,238.65,233.22,1738584000000.0,False
4h_332,BULLISH,275.5,239.05,1738756800000.0,False
4h_333,BULLISH,277.11,275.5,1738771200000.0,False
4h_339,BEARISH,277.11,276.42,1738857600000.0,False
4h_347,BULLISH,278.0,276.42,1738972800000.0,False
4h_355,BEARISH,278.0,276.42,1739088000000.0,False
4h_357,BEARISH,276.42,262.39,1739116800000.0,False
4h_367,BEARISH,262.39,239.05,1739260800000.0,False
4h_370,BULLISH,250.9,242.57,1739304000000.0,False
4h_373,BEARISH,250.9,239.05,1739347200000.0,False
4h_376,BULLISH,264.89,239.05,1739390400000.0,False
4h_383,BULLISH,277.65,264.89,1739491200000.0,False
4h_387,BEARISH,277.65,250.47,1739548800000.0,False
4h_402,BULLISH,253.22,250.47,1739764800000.0,False
4h_406,BEARISH,252.5,250.0,1739822400000.0,False
4h_412,BEARISH,250.0,247.99,1739908800000.0,False
4h_427,BULLISH,284.0,247.99,1740124800000.0,False
4h_436,BEARISH,284.0,247.99,1740254400000.0,False
4h_449,BEARISH,238.28,233.72,1740441600000.0,False
4h_461,BULLISH,234.89,233.72,1740614400000.0,False
4h_462,BULLISH,236.06,234.89,1740628800000.0,False
4h_463,BULLISH,236.18,236.06,1740643200000.0,False
4h_465,BEARISH,236.18,233.72,1740672000000.0,False
4h_468,BEARISH,233.72,187.15,1740715200000.0,False
4h_471,BEARISH,187.15,187.0,1740758400000.0,False
4h_473,BEARISH,183.88,173.17,1740787200000.0,False
4h_484,BULLISH,221.79,173.17,1740945600000.0,False
4h_487,BULLISH,222.67,221.79,1740988800000.0,False
4h_491,BEARISH,222.67,208.05,1741046400000.0,False
4h_492,BEARISH,208.05,173.16,1741060800000.0,False
4h_495,BULLISH,182.93,175.36,1741104000000.0,False
4h_496,BULLISH,223.0,182.93,1741118400000.0,False
4h_501,BEARISH,223.0,220.0,1741190400000.0,False
4h_519,BEARISH,220.0,183.75,1741449600000.0,False
4h_522,BULLISH,184.0,183.75,1741492800000.0,False
4h_529,BULLISH,193.36,178.78,1741593600000.0,False
4h_531,BEARISH,193.36,186.4,1741622400000.0,False
4h_538,BULLISH,168.1,168.02,1741723200000.0,False
4h_541,BULLISH,182.89,168.1,1741766400000.0,False
4h_543,BEARISH,182.89,166.86,1741795200000.0,False
4h_546,BULLISH,173.07,166.86,1741838400000.0,False
4h_559,BULLISH,177.26,173.07,1742025600000.0,False
4h_566,BEARISH,173.0,166.5,1742126400000.0,False
4h_567,BEARISH,166.5,164.0,1742140800000.0,False
4h_572,BULLISH,165.0,164.0,1742212800000.0,False
4h_575,BEARISH,159.0,154.0,1742256000000.0,False
4h_584,BULLISH,196.07,159.0,1742385600000.0,False
4h_586,BEARISH,196.07,186.07,1742414400000.0,False
4h_588,BEARISH,186.07,180.0,1742443200000.0,False
4h_595,BULLISH,177.7,174.64,1742544000000.0,False
4h_599,BEARISH,177.7,177.6,1742601600000.0,False
4h_608,BULLISH,185.09,177.6,1742731200000.0,False
4h_613,BULLISH,189.11,185.09,1742803200000.0,False
4h_630,BEARISH,189.11,187.85,1743048000000.0,False
