2025-12-19 20:54:15,198 | INFO | [MAIN] --- INICIANDO SECUENCIA DE ARRANQUE ---
2025-12-19 20:54:15,200 | INFO | [API_MANAGER] 📡 Conectando con Binance Futures (TESTNET)...
2025-12-19 20:54:16,565 | ERROR | [API_MANAGER] ❌ CRITICO: Error configurando cuenta: (401, -2015, 'Invalid API-key, IP, or permissions for action', {'Content-Type': 'application/json', 'Content-Length': '69', 'Connection': 'keep-alive', 'Date': 'Sat, 20 Dec 2025 00:54:15 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '2', 'x-response-time': '2ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 80ea9b66fde70fee6b3b4b7b4b9ca022.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'MIA50-P7', 'X-Amz-Cf-Id': '7N2Rnti5jytPgduJXZaZY3nFWdzPEoZJCti7JSUPDfFRfN4QeoPSwg=='})
2025-12-19 20:54:16,567 | ERROR | [API_MANAGER] ❌ CRITICO: Fallo crítico de conexión: (401, -2015, 'Invalid API-key, IP, or permissions for action', {'Content-Type': 'application/json', 'Content-Length': '69', 'Connection': 'keep-alive', 'Date': 'Sat, 20 Dec 2025 00:54:15 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '2', 'x-response-time': '2ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 80ea9b66fde70fee6b3b4b7b4b9ca022.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'MIA50-P7', 'X-Amz-Cf-Id': '7N2Rnti5jytPgduJXZaZY3nFWdzPEoZJCti7JSUPDfFRfN4QeoPSwg=='})
2025-12-19 20:54:16,570 | ERROR | [MAIN] ❌ CRITICO: Fallo en arranque: (401, -2015, 'Invalid API-key, IP, or permissions for action', {'Content-Type': 'application/json', 'Content-Length': '69', 'Connection': 'keep-alive', 'Date': 'Sat, 20 Dec 2025 00:54:15 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '2', 'x-response-time': '2ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 80ea9b66fde70fee6b3b4b7b4b9ca022.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'MIA50-P7', 'X-Amz-Cf-Id': '7N2Rnti5jytPgduJXZaZY3nFWdzPEoZJCti7JSUPDfFRfN4QeoPSwg=='})
2025-12-19 20:57:33,605 | INFO | [MAIN] --- INICIANDO SECUENCIA DE ARRANQUE ---
2025-12-19 20:57:33,608 | INFO | [API_MANAGER] 📡 Conectando con Binance Futures (TESTNET)...
2025-12-19 20:57:35,401 | ERROR | [API_MANAGER] ❌ CRITICO: Error configurando cuenta: (401, -2015, 'Invalid API-key, IP, or permissions for action', {'Content-Type': 'application/json', 'Content-Length': '69', 'Connection': 'keep-alive', 'Date': 'Sat, 20 Dec 2025 00:57:34 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '3', 'x-response-time': '2ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 3c93de06449f6420eaa84a77e49d81ce.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'MIA50-P7', 'X-Amz-Cf-Id': 'cByovLiuwUbjVHW2r32MuTY_LQq7hLFvYbIlmGutpS0XRxfqrv4xDA=='})
2025-12-19 20:57:35,404 | ERROR | [API_MANAGER] ❌ CRITICO: Fallo crítico de conexión: (401, -2015, 'Invalid API-key, IP, or permissions for action', {'Content-Type': 'application/json', 'Content-Length': '69', 'Connection': 'keep-alive', 'Date': 'Sat, 20 Dec 2025 00:57:34 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '3', 'x-response-time': '2ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 3c93de06449f6420eaa84a77e49d81ce.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'MIA50-P7', 'X-Amz-Cf-Id': 'cByovLiuwUbjVHW2r32MuTY_LQq7hLFvYbIlmGutpS0XRxfqrv4xDA=='})
2025-12-19 20:57:35,406 | ERROR | [MAIN] ❌ CRITICO: Fallo en arranque: (401, -2015, 'Invalid API-key, IP, or permissions for action', {'Content-Type': 'application/json', 'Content-Length': '69', 'Connection': 'keep-alive', 'Date': 'Sat, 20 Dec 2025 00:57:34 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '3', 'x-response-time': '2ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 3c93de06449f6420eaa84a77e49d81ce.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'MIA50-P7', 'X-Amz-Cf-Id': 'cByovLiuwUbjVHW2r32MuTY_LQq7hLFvYbIlmGutpS0XRxfqrv4xDA=='})
2025-12-19 21:01:22,073 | INFO | [MAIN] --- INICIANDO SECUENCIA DE ARRANQUE ---
