Trade_ID,Side,Entry_Time,PnL_Pct,Wait_Time_Min,Exit_Reason,Max_Drawdown
TRD_202412231535_DIR,SHORT,2024-12-23 15:35:00,-2.5,0.0,STOP_LOSS,-8.62
TRD_202412231539,LONG,2024-12-23 15:39:00,14.87,12.0,TRAILING_WIN,-0.89
TRD_202412251550_DIR,SHORT,2024-12-25 15:50:00,-2.5,0.0,STOP_LOSS,0.0
TRD_202412272015_DIR,SHORT,2024-12-27 20:15:00,3.33,0.0,TRAILING_WIN,-4.48
TRD_202501061730_DIR,LONG,2025-01-06 17:30:00,-2.5,0.0,STOP_LOSS,-7.26
TRD_202501131635_DIR,LONG,2025-01-13 16:35:00,4.68,0.0,TRAILING_WIN,-5.42
TRD_202501150236_DIR,LONG,2025-01-15 02:36:00,5.76,0.0,TRAILING_WIN,-1.36
TRD_202501150716_DIR,SHORT,2025-01-15 07:16:00,4.22,0.0,TRAILING_WIN,-7.64
TRD_202501150800_DIR,SHORT,2025-01-15 08:00:00,-2.5,0.0,STOP_LOSS,-9.17
TRD_202501151705_DIR,SHORT,2025-01-15 17:05:00,-2.5,0.0,STOP_LOSS,-14.95
TRD_202501211139,SHORT,2025-01-21 11:39:00,1.72,37.0,TRAILING_WIN,-3.17
TRD_202501260530_DIR,LONG,2025-01-26 05:30:00,-2.5,0.0,STOP_LOSS,-5.0
TRD_202501260531_DIR,LONG,2025-01-26 05:31:00,-2.5,0.0,STOP_LOSS,-6.37
TRD_202501281205_DIR,LONG,2025-01-28 12:05:00,-2.5,0.0,STOP_LOSS,-2.9
TRD_202501281717_DIR,LONG,2025-01-28 17:17:00,-2.5,0.0,STOP_LOSS,-8.56
TRD_202501281718_DIR,LONG,2025-01-28 17:18:00,-2.5,0.0,STOP_LOSS,0.0
TRD_202501281719_DIR,LONG,2025-01-28 17:19:00,-2.5,0.0,STOP_LOSS,-11.35
TRD_202501281720_DIR,LONG,2025-01-28 17:20:00,17.59,0.0,TRAILING_WIN,-5.03
TRD_202501281747_DIR,LONG,2025-01-28 17:47:00,1.2,0.0,TRAILING_WIN,-3.54
TRD_202501302058_DIR,LONG,2025-01-30 20:58:00,4.44,0.0,TRAILING_WIN,-5.21
TRD_202501311745_DIR,SHORT,2025-01-31 17:45:00,-2.5,0.0,STOP_LOSS,-10.41
TRD_202501311749_DIR,SHORT,2025-01-31 17:49:00,16.01,0.0,TRAILING_WIN,0.0
TRD_202502012353,SHORT,2025-02-01 23:53:00,-2.5,9.0,STOP_LOSS,0.0
TRD_202502012354_DIR,LONG,2025-02-01 23:54:00,-2.5,0.0,STOP_LOSS,-28.66
TRD_202502111615_DIR,SHORT,2025-02-11 16:15:00,-2.5,0.0,STOP_LOSS,-4.96
TRD_202502111616_DIR,SHORT,2025-02-11 16:16:00,-2.5,0.0,STOP_LOSS,-12.05
TRD_202502121911_DIR,SHORT,2025-02-12 19:11:00,-2.5,0.0,STOP_LOSS,-10.85
TRD_202502281215_DIR,LONG,2025-02-28 12:15:00,-2.5,0.0,STOP_LOSS,-14.77
TRD_202502281217,SHORT,2025-02-28 12:17:00,-2.5,44.0,STOP_LOSS,-6.18
TRD_202503051306,LONG,2025-03-05 13:06:00,1.7,52.0,TRAILING_WIN,-2.65
TRD_202503091911,SHORT,2025-03-09 19:11:00,-2.5,26.0,STOP_LOSS,-9.64
TRD_202503151736,SHORT,2025-03-15 17:36:00,-2.5,35.0,STOP_LOSS,-12.13
TRD_202503160605_DIR,SHORT,2025-03-16 06:05:00,-2.5,0.0,STOP_LOSS,-3.47
TRD_202503160855_DIR,LONG,2025-03-16 08:55:00,-2.5,0.0,STOP_LOSS,-6.54
TRD_202503160859,SHORT,2025-03-16 08:59:00,10.51,38.0,TRAILING_WIN,0.0
TRD_202503171332,SHORT,2025-03-17 13:32:00,-2.5,15.0,STOP_LOSS,-4.64
TRD_202503171610_DIR,SHORT,2025-03-17 16:10:00,-2.5,0.0,STOP_LOSS,-12.4
TRD_202503171820_DIR,SHORT,2025-03-17 18:20:00,8.92,0.0,TRAILING_WIN,-3.43
TRD_202503171910_DIR,SHORT,2025-03-17 19:10:00,17.25,0.0,TRAILING_WIN,-22.06
TRD_202503172040_DIR,LONG,2025-03-17 20:40:00,-2.5,0.0,STOP_LOSS,-11.15
TRD_202503172044_DIR,LONG,2025-03-17 20:44:00,6.69,0.0,TRAILING_WIN,-8.98
TRD_202503191014_DIR,SHORT,2025-03-19 10:14:00,-2.5,0.0,STOP_LOSS,-14.66
TRD_202503191119_DIR,SHORT,2025-03-19 11:19:00,18.61,0.0,TRAILING_WIN,0.0
TRD_202503191823_DIR,LONG,2025-03-19 18:23:00,16.59,0.0,TRAILING_WIN,0.0
TRD_202503201541,LONG,2025-03-20 15:41:00,-2.5,46.0,STOP_LOSS,-14.44
TRD_202503201549_DIR,LONG,2025-03-20 15:49:00,15.71,0.0,TRAILING_WIN,-2.98
TRD_202503211545_DIR,LONG,2025-03-21 15:45:00,14.32,0.0,TRAILING_WIN,-7.84
TRD_202503270940_DIR,LONG,2025-03-27 09:40:00,1.95,0.0,TRAILING_WIN,-0.18
TRD_202503270942,LONG,2025-03-27 09:42:00,1.9,53.0,TRAILING_WIN,-0.18
TRD_202503311205_DIR,SHORT,2025-03-31 12:05:00,1.96,0.0,TRAILING_WIN,-3.02
TRD_202503311206,SHORT,2025-03-31 12:06:00,0.6,4.0,TRAILING_WIN,-3.02
TRD_202503311220_DIR,SHORT,2025-03-31 12:20:00,1.96,0.0,TRAILING_WIN,-3.02
TRD_202503311705_DIR,LONG,2025-03-31 17:05:00,2.51,0.0,TRAILING_WIN,-3.42
TRD_202503311707_DIR,LONG,2025-03-31 17:07:00,2.51,0.0,TRAILING_WIN,0.0
TRD_202503311753_DIR,LONG,2025-03-31 17:53:00,6.87,0.0,TRAILING_WIN,-7.36
TRD_202503311754_DIR,LONG,2025-03-31 17:54:00,-2.5,0.0,STOP_LOSS,-10.48
TRD_202503311757_DIR,LONG,2025-03-31 17:57:00,-2.5,0.0,STOP_LOSS,-7.24
TRD_202503311801_DIR,LONG,2025-03-31 18:01:00,2.71,0.0,TRAILING_WIN,-2.81
TRD_202503311812_DIR,LONG,2025-03-31 18:12:00,0.64,0.0,TRAILING_WIN,-0.98
TRD_202503311946_DIR,LONG,2025-03-31 19:46:00,6.5,0.0,TRAILING_WIN,-7.43
TRD_202503311952_DIR,LONG,2025-03-31 19:52:00,5.24,0.0,TRAILING_WIN,-5.59
TRD_202504010514,SHORT,2025-04-01 05:14:00,3.6,9.0,TRAILING_WIN,-5.49
TRD_202504010523_DIR,SHORT,2025-04-01 05:23:00,0.8,0.0,TRAILING_WIN,-1.05
TRD_202504010640_DIR,SHORT,2025-04-01 06:40:00,-2.5,0.0,STOP_LOSS,-2.71
TRD_202504010819_DIR,SHORT,2025-04-01 08:19:00,-2.5,0.0,STOP_LOSS,-1.96
TRD_202504011405_DIR,LONG,2025-04-01 14:05:00,3.43,0.0,TRAILING_WIN,-1.06
TRD_202504012300_DIR,LONG,2025-04-01 23:00:00,-2.5,0.0,STOP_LOSS,-2.29
TRD_202504020116,LONG,2025-04-02 01:16:00,5.77,21.0,TRAILING_WIN,-7.4
TRD_202504020244_DIR,LONG,2025-04-02 02:44:00,-2.5,0.0,STOP_LOSS,-2.42
TRD_202504020553_DIR,LONG,2025-04-02 05:53:00,0.68,0.0,TRAILING_WIN,-0.92
TRD_202504021226_DIR,LONG,2025-04-02 12:26:00,0.49,0.0,TRAILING_WIN,-1.55
TRD_202504021515_DIR,SHORT,2025-04-02 15:15:00,3.52,0.0,TRAILING_WIN,-6.89
TRD_202504021544_DIR,SHORT,2025-04-02 15:44:00,1.03,0.0,TRAILING_WIN,-1.81
TRD_202504022107_DIR,LONG,2025-04-02 21:07:00,4.2,0.0,TRAILING_WIN,-6.79
TRD_202504022203_DIR,LONG,2025-04-02 22:03:00,-2.5,0.0,STOP_LOSS,-2.56
TRD_202504022239_DIR,LONG,2025-04-02 22:39:00,0.72,0.0,TRAILING_WIN,-1.55
TRD_202504030656_DIR,LONG,2025-04-03 06:56:00,-2.5,0.0,STOP_LOSS,-3.3
TRD_202504031245_DIR,LONG,2025-04-03 12:45:00,0.72,0.0,TRAILING_WIN,-1.94
TRD_202504040153_DIR,LONG,2025-04-04 01:53:00,2.33,0.0,TRAILING_WIN,-3.56
TRD_202504041045_DIR,LONG,2025-04-04 10:45:00,-2.5,0.0,STOP_LOSS,-2.81
TRD_202504041500_DIR,SHORT,2025-04-04 15:00:00,-2.5,0.0,STOP_LOSS,-2.53
TRD_202504041655_DIR,SHORT,2025-04-04 16:55:00,7.72,0.0,TRAILING_WIN,-2.44
TRD_202504050636_DIR,LONG,2025-04-05 06:36:00,-2.5,0.0,STOP_LOSS,-0.25
TRD_202504050642_DIR,LONG,2025-04-05 06:42:00,1.29,0.0,TRAILING_WIN,-1.15
TRD_202504050906,SHORT,2025-04-05 09:06:00,-2.5,5.0,STOP_LOSS,-1.66
TRD_202504052103_DIR,LONG,2025-04-05 21:03:00,-2.5,0.0,STOP_LOSS,-0.14
TRD_202504052122,LONG,2025-04-05 21:22:00,1.62,11.0,TRAILING_WIN,-0.55
TRD_202504060657_DIR,LONG,2025-04-06 06:57:00,-2.5,0.0,STOP_LOSS,-1.33
TRD_202504061219_DIR,LONG,2025-04-06 12:19:00,-2.5,0.0,STOP_LOSS,-2.55
TRD_202504061351_DIR,LONG,2025-04-06 13:51:00,-2.5,0.0,STOP_LOSS,-4.2
TRD_202504061727_DIR,LONG,2025-04-06 17:27:00,-2.5,0.0,STOP_LOSS,-3.19
TRD_202504061821_DIR,LONG,2025-04-06 18:21:00,-2.5,0.0,STOP_LOSS,-3.93
TRD_202504061949_DIR,LONG,2025-04-06 19:49:00,-2.5,0.0,STOP_LOSS,-3.56
TRD_202504070340_DIR,LONG,2025-04-07 03:40:00,-2.5,0.0,STOP_LOSS,-3.86
