Timestamp,Event_Type,Close_Price,BB_Width_T0,BB_Expansion_Rate,RSI_T0,Width_T-1,Width_T-2,Width_T-3,Did_Revert_To_Mean,Bars_To_Mean,MAE_To_Mean_%,Did_Touch_Opposite,Bars_To_Opposite,Context_1h_State,Context_1h_Width,Context_1h_RSI,Context_4h_State,Context_4h_Width,Context_4h_RSI
2024-12-28 18:15:00,UPPER_BREAK,341.18,3.178,1.14,64.19,2.625,2.627,2.795,True,23,6.187,True,46,BREAK_UP,7.08,74.33,,,
2024-12-28 18:45:00,UPPER_BREAK,341.67,3.716,1.42,70.46,3.308,3.178,2.625,True,21,6.035,True,44,BREAK_UP,7.08,74.33,,,
2024-12-28 20:00:00,UPPER_BREAK,347.55,5.819,1.35,72.81,5.218,4.853,4.297,True,16,4.241,True,39,BREAK_UP,8.02,77.2,,,
2024-12-28 21:30:00,UPPER_BREAK,356.44,7.327,1.08,77.56,6.693,6.787,6.758,True,10,1.641,True,33,BREAK_UP,11.34,81.49,,,
2024-12-29 07:30:00,LOWER_BREAK,338.68,2.153,1.32,24.94,1.827,1.659,1.636,True,10,0.396,True,17,NEUTRAL,8.94,55.23,,,
2024-12-29 14:15:00,LOWER_BREAK,336.08,1.373,1.21,35.07,1.075,1.092,1.134,True,27,2.624,True,34,NEUTRAL,7.12,29.11,,,
2024-12-29 16:00:00,LOWER_BREAK,332.38,2.785,1.37,23.82,2.435,2.182,2.027,True,20,1.54,True,27,NEAR_LOWER,7.61,31.27,,,
2024-12-29 22:00:00,LOWER_BREAK,327.75,1.55,1.0,30.49,1.552,1.551,1.545,True,2,0.397,True,3,NEAR_LOWER,6.16,19.6,,,
2024-12-29 23:45:00,UPPER_BREAK,332.74,1.31,1.1,62.78,1.122,1.183,1.192,True,16,3.642,True,37,NEUTRAL,5.95,26.45,,,
2024-12-30 01:15:00,UPPER_BREAK,341.06,4.434,1.4,70.67,3.712,3.392,3.163,True,10,1.114,True,31,NEAR_UPPER,5.34,57.22,,,
2024-12-30 11:45:00,UPPER_BREAK,340.56,2.108,1.11,55.13,1.862,1.818,1.905,True,3,0.106,True,6,NEAR_UPPER,4.92,62.84,,,
2024-12-30 13:30:00,LOWER_BREAK,329.07,3.213,1.42,28.96,2.498,2.277,2.258,True,11,2.367,True,17,BREAK_DOWN,5.38,43.82,,,
2024-12-30 21:30:00,LOWER_BREAK,323.83,3.061,1.32,32.8,2.347,2.34,2.325,True,34,4.502,True,43,NEAR_LOWER,6.13,35.01,,,
2024-12-30 23:00:00,LOWER_BREAK,320.5,4.838,1.26,31.12,4.206,3.956,3.836,True,28,3.51,True,37,NEAR_LOWER,6.45,37.25,,,
2024-12-31 08:15:00,UPPER_BREAK,317.28,2.358,0.86,73.35,1.994,2.315,2.733,True,8,0.974,True,37,NEUTRAL,10.41,29.61,NEAR_LOWER,13.48,23.17
2024-12-31 13:15:00,UPPER_BREAK,319.17,2.042,1.01,63.61,1.727,1.873,2.016,True,10,2.923,True,17,NEUTRAL,9.61,51.01,NEUTRAL,13.87,31.44
2024-12-31 17:30:00,LOWER_BREAK,308.96,5.858,1.12,2.67,5.29,5.123,5.214,True,17,0.46,True,29,NEUTRAL,5.55,48.18,NEAR_LOWER,15.14,27.62
2025-01-01 00:45:00,UPPER_BREAK,313.81,1.74,1.41,68.47,1.301,1.23,1.237,True,12,1.017,True,34,NEUTRAL,5.12,50.12,NEUTRAL,16.49,35.6
2025-01-01 02:00:00,UPPER_BREAK,315.85,2.566,1.2,64.21,2.268,2.164,2.144,True,7,0.364,True,29,NEUTRAL,5.09,51.74,NEUTRAL,16.49,35.6
