Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Mode,status,Peak_Price,Rem_Qty,SL,TP_Target
ECO_240930,GAMMA,LONG,2024-12-24 09:30:00,368.85,2024-12-24 12:45:00,374.04,0.014070760471736471,SL_HIT,GAMMA_NORMAL,CLOSED,368.85,1.0,374.42845,381.75975
ECO_240800,GAMMA,LONG,2024-12-24 08:00:00,372.78,2024-12-24 15:45:00,375.42,0.007081924995976295,SL_HIT,GAMMA_NORMAL,CLOSED,372.78,1.0,376.99555,385.8272999999999
ECO_241315,GAMMA,SHORT,2024-12-24 13:15:00,376.78,2024-12-25 02:45:00,368.61,0.021683741175221507,SL_HIT,GAMMA_NORMAL,CLOSED,376.78,1.0,367.75964999999997,363.5927
ECO_250045,GAMMA,LONG,2024-12-25 00:45:00,369.38,2024-12-25 05:15:00,374.54,0.013969354052737087,SL_HIT,GAMMA_NORMAL,CLOSED,369.38,1.0,374.6971,382.3083
ECO_250245,GAMMA,LONG,2024-12-25 02:45:00,368.61,2024-12-25 05:15:00,374.54,0.01608746371503759,SL_HIT,GAMMA_NORMAL,CLOSED,368.61,1.0,374.6971,381.51135
ECO_250600,GAMMA,SHORT,2024-12-25 06:00:00,378.69,2024-12-25 12:30:00,374.57,0.010879611291557751,SL_HIT,GAMMA_NORMAL,CLOSED,378.69,1.0,373.93035,365.43584999999996
ECO_250645,GAMMA,SHORT,2024-12-25 06:45:00,377.02,2024-12-25 16:45:00,369.51,0.01991936767280248,SL_HIT,GAMMA_NORMAL,CLOSED,377.02,1.0,367.21694999999994,363.8243
ECO_251315,GAMMA,LONG,2024-12-25 13:15:00,372.78,2024-12-26 00:30:00,364.34,-0.022640699608348084,SL_HIT,GAMMA_NORMAL,CLOSED,372.78,1.0,365.32439999999997,385.8272999999999
ECO_260145,GAMMA,LONG,2024-12-26 01:45:00,361.97,2024-12-26 04:00:00,354.61,-0.02033317678260633,SL_HIT,GAMMA_NORMAL,CLOSED,361.97,1.0,354.73060000000004,374.63895
ECO_260230,GAMMA,SHORT,2024-12-26 02:30:00,360.53,2024-12-26 07:00:00,351.8,0.024214351094222288,SL_HIT,GAMMA_HEDGE,CLOSED,360.53,1.0,351.549,347.91144999999995
ECO_260400,GAMMA,SHORT,2024-12-26 04:00:00,354.61,2024-12-26 09:00:00,342.46,0.034262993147401465,SL_HIT,GAMMA_HEDGE,CLOSED,354.61,1.0,341.2578,342.19865
ECO_260800,GAMMA,SHORT,2024-12-26 08:00:00,343.34,2024-12-26 14:00:00,341.36,0.005766878313042353,SL_HIT,GAMMA_HEDGE,CLOSED,343.34,1.0,338.9262,331.32309999999995
ECO_270500,GAMMA,LONG,2024-12-27 05:00:00,338.4,2024-12-27 09:15:00,346.54,0.024054373522458757,SL_HIT,GAMMA_NORMAL,CLOSED,338.4,1.0,348.4092,350.24399999999997
ECO_270515,GAMMA,LONG,2024-12-27 05:15:00,339.38,2024-12-27 09:15:00,346.54,0.021097295067476058,SL_HIT,GAMMA_NORMAL,CLOSED,339.38,1.0,348.4092,351.25829999999996
ECO_271230,GAMMA,LONG,2024-12-27 12:30:00,339.09,2024-12-27 14:30:00,327.14,-0.035241381344185876,SL_HIT,GAMMA_NORMAL,CLOSED,339.09,1.0,332.30819999999994,350.95814999999993
ECO_271245,GAMMA,LONG,2024-12-27 12:45:00,338.71,2024-12-27 14:30:00,327.14,-0.034159015086652283,SL_HIT,GAMMA_NORMAL,CLOSED,338.71,1.0,331.9358,350.56485
ECO_271430,GAMMA,SHORT,2024-12-27 14:30:00,327.14,2024-12-27 17:15:00,324.57,0.00785596380754415,SL_HIT,GAMMA_HEDGE,CLOSED,327.14,1.0,322.94669999999996,315.6901
ECO_271445,GAMMA,SHORT,2024-12-27 14:45:00,325.66,2024-12-28 06:45:00,322.52,0.009641957870171476,SL_HIT,GAMMA_HEDGE,CLOSED,325.66,1.0,321.7809,314.2619
ECO_280915,GAMMA,SHORT,2024-12-28 09:15:00,326.98,2024-12-28 12:30:00,335.05,-0.024680408587681182,SL_HIT,GAMMA_NORMAL,CLOSED,326.98,1.0,333.5196,315.5357
ECO_280930,GAMMA,SHORT,2024-12-28 09:30:00,328.76,2024-12-28 13:30:00,335.98,-0.021961309161698587,SL_HIT,GAMMA_NORMAL,CLOSED,328.76,1.0,335.3352,317.2534
ECO_281230,GAMMA,SHORT,2024-12-28 12:30:00,335.05,2024-12-28 19:15:00,342.26,-0.021519176242351827,SL_HIT,GAMMA_NORMAL,CLOSED,335.05,1.0,341.75100000000003,323.32325
ECO_281330,GAMMA,SHORT,2024-12-28 13:30:00,335.98,2024-12-28 19:30:00,344.07,-0.024078814215131777,SL_HIT,GAMMA_NORMAL,CLOSED,335.98,1.0,342.69960000000003,324.2207
ECO_281915,GAMMA,SHORT,2024-12-28 19:15:00,342.26,2024-12-28 20:30:00,349.8,-0.022030035645415825,SL_HIT,GAMMA_NORMAL,CLOSED,342.26,1.0,349.1052,330.2809
ECO_281930,GAMMA,SHORT,2024-12-28 19:30:00,344.07,2024-12-28 21:30:00,356.44,-0.03595198651437209,SL_HIT,GAMMA_NORMAL,CLOSED,344.07,1.0,350.9514,332.02754999999996
ECO_290100,GAMMA,LONG,2024-12-29 01:00:00,347.06,2024-12-29 07:30:00,338.68,-0.02414568086209876,SL_HIT,GAMMA_NORMAL,CLOSED,347.06,1.0,340.1188,359.20709999999997
ECO_290115,GAMMA,LONG,2024-12-29 01:15:00,345.67,2024-12-29 07:30:00,338.68,-0.020221598634535855,SL_HIT,GAMMA_NORMAL,CLOSED,345.67,1.0,338.7566,357.76845
ECO_290730,GAMMA,LONG,2024-12-29 07:30:00,338.68,2024-12-29 16:15:00,330.78,-0.0233258533128618,SL_HIT,GAMMA_NORMAL,CLOSED,338.68,1.0,331.9064,350.5338
ECO_290815,GAMMA,LONG,2024-12-29 08:15:00,338.17,2024-12-29 16:15:00,330.78,-0.02185291421474419,SL_HIT,GAMMA_NORMAL,CLOSED,338.17,1.0,331.4066,350.00595
ECO_292030,GAMMA,LONG,2024-12-29 20:30:00,329.43,2024-12-30 00:30:00,334.7,0.015997328719302983,SL_HIT,GAMMA_NORMAL,CLOSED,329.43,1.0,336.0115,340.96004999999997
ECO_292045,GAMMA,LONG,2024-12-29 20:45:00,329.94,2024-12-30 00:30:00,334.7,0.01442686549069525,SL_HIT,GAMMA_NORMAL,CLOSED,329.94,1.0,336.0115,341.48789999999997
ECO_300115,GAMMA,SHORT,2024-12-30 01:15:00,341.06,2024-12-30 05:00:00,338.0,0.008972028382102863,SL_HIT,GAMMA_NORMAL,CLOSED,341.06,1.0,336.04184999999995,329.1229
ECO_300130,GAMMA,SHORT,2024-12-30 01:30:00,341.74,2024-12-30 05:00:00,338.0,0.01094399250892494,SL_HIT,GAMMA_NORMAL,CLOSED,341.74,1.0,336.04184999999995,329.77909999999997
ECO_300915,GAMMA,LONG,2024-12-30 09:15:00,333.18,2024-12-30 10:30:00,335.95,0.00831382435920518,SL_HIT,GAMMA_NORMAL,CLOSED,333.18,1.0,336.89705,344.8413
ECO_300900,GAMMA,LONG,2024-12-30 09:00:00,333.74,2024-12-30 12:30:00,337.91,0.012494756397195468,SL_HIT,GAMMA_NORMAL,CLOSED,333.74,1.0,338.8572,345.42089999999996
ECO_301345,GAMMA,LONG,2024-12-30 13:45:00,326.24,2024-12-30 18:00:00,331.52,0.01618440411966642,SL_HIT,GAMMA_NORMAL,CLOSED,326.24,1.0,331.62355,337.6584
ECO_301330,GAMMA,LONG,2024-12-30 13:30:00,329.07,2024-12-30 23:00:00,320.5,-0.02604309113562462,SL_HIT,GAMMA_NORMAL,CLOSED,329.07,1.0,322.4994,340.58745
ECO_291100,SWING,LONG,2024-12-29 11:00:00,340.33,2024-12-31 00:00:00,319.19,-0.06211618135339226,SL_HIT,SWING_NORMAL,CLOSED,340.33,1.0,319.9102,381.1696
ECO_291200,SWING,LONG,2024-12-29 12:00:00,338.06,2024-12-31 00:15:00,317.01,-0.06226705318582503,SL_HIT,SWING_NORMAL,CLOSED,338.06,1.0,317.77639999999997,378.6272
ECO_302330,GAMMA,LONG,2024-12-30 23:30:00,321.4,2024-12-31 00:45:00,314.53,-0.021375233354075932,SL_HIT,GAMMA_NORMAL,CLOSED,321.4,1.0,314.972,332.64899999999994
ECO_302345,GAMMA,LONG,2024-12-30 23:45:00,322.06,2024-12-31 00:45:00,314.53,-0.023380736508725172,SL_HIT,GAMMA_NORMAL,CLOSED,322.06,1.0,315.6188,333.33209999999997
ECO_310045,GAMMA,SHORT,2024-12-31 00:45:00,314.53,2024-12-31 07:45:00,311.06,0.01103233395860481,SL_HIT,GAMMA_HEDGE,CLOSED,314.53,1.0,310.67564999999996,303.52144999999996
ECO_310815,GAMMA,SHORT,2024-12-31 08:15:00,317.28,2024-12-31 12:15:00,315.54,0.00548411497730696,SL_HIT,GAMMA_NORMAL,CLOSED,317.28,1.0,314.0223,306.17519999999996
ECO_310100,GAMMA,SHORT,2024-12-31 01:00:00,313.0,2024-12-31 13:15:00,319.17,-0.019712460063897815,SL_HIT,GAMMA_HEDGE,CLOSED,313.0,1.0,317.695,302.045
ECO_311345,GAMMA,SHORT,2024-12-31 13:45:00,322.86,2024-12-31 17:45:00,312.56,0.031902372545375736,SL_HIT,GAMMA_NORMAL,CLOSED,322.86,1.0,310.50479999999993,311.5599
ECO_311400,GAMMA,SHORT,2024-12-31 14:00:00,327.78,2024-12-31 17:45:00,312.56,0.04643358350112872,SL_HIT,GAMMA_NORMAL,CLOSED,327.78,1.0,310.50479999999993,316.30769999999995
ECO_311745,GAMMA,LONG,2024-12-31 17:45:00,312.56,2025-01-01 16:00:00,317.24,0.014973125159969307,SL_HIT,GAMMA_NORMAL,CLOSED,312.56,1.0,317.45475,323.4996
ECO_311800,GAMMA,LONG,2024-12-31 18:00:00,312.67,2025-01-01 16:00:00,317.24,0.014616048869415015,SL_HIT,GAMMA_NORMAL,CLOSED,312.67,1.0,317.45475,323.61345
ECO_012030,GAMMA,SHORT,2025-01-01 20:30:00,319.78,2025-01-02 00:15:00,327.02,-0.022640565388704764,SL_HIT,GAMMA_NORMAL,CLOSED,319.78,1.0,326.1756,308.5877
ECO_012045,GAMMA,SHORT,2025-01-01 20:45:00,320.7,2025-01-02 00:30:00,328.34,-0.023822887433738654,SL_HIT,GAMMA_NORMAL,CLOSED,320.7,1.0,327.114,309.47549999999995
ECO_022230,GAMMA,LONG,2025-01-02 22:30:00,331.44,2025-01-03 05:15:00,324.22,-0.021783731595462135,SL_HIT,GAMMA_NORMAL,CLOSED,331.44,1.0,324.8112,343.0404
