Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,SL,Peak_Price,status,Rem_Qty,TP1_Hit,TP2_Hit
FL_1014,Flash_Reversal,LONG,2024-12-20 10:14:00,283.46,2024-12-20 10:24:00,282.93,-0.0018697523460099229,SL_HIT,283.46,283.46,CLOSED,0.4,True,False
FL_1122,Flash_Reversal,LONG,2024-12-20 11:22:00,279.89,2024-12-20 11:35:00,275.4,-0.016042016506484725,SL_HIT,275.69165,279.89,CLOSED,1.0,False,False
FL_1330,Flash_Reversal,SHORT,2024-12-20 13:30:00,292.8,2024-12-20 13:40:00,298.45,-0.019296448087431615,SL_HIT,297.192,292.8,CLOSED,1.0,False,False
FL_2030,Flash_Reversal,LONG,2024-12-20 20:30:00,326.61,2024-12-20 20:59:00,325.5,-0.0033985487278405855,SL_HIT,326.429,327.97,CLOSED,0.2,True,True
FL_0111,Flash_Reversal,SHORT,2024-12-21 01:11:00,328.07,2024-12-21 01:36:00,325.74,0.007102142835370452,SL_HIT,325.51949999999994,323.9,CLOSED,0.2,True,True
FL_0242,Flash_Reversal,SHORT,2024-12-21 02:42:00,335.8,2024-12-21 03:15:00,330.95,0.014443120905300841,SL_HIT,330.3234,328.68,CLOSED,0.2,True,True
FL_0438,Flash_Reversal,SHORT,2024-12-21 04:38:00,335.48,2024-12-21 05:06:00,334.49,0.0029509955884106623,SL_HIT,334.25649999999996,333.15,CLOSED,0.2,True,True
FL_1210,Flash_Reversal,LONG,2024-12-21 12:10:00,316.09,2024-12-21 12:28:00,315.36,-0.002309468822170779,SL_HIT,316.09,316.09,CLOSED,0.4,True,False
FL_1607,Flash_Reversal,LONG,2024-12-21 16:07:00,304.06,2024-12-21 16:32:00,306.74,0.008814049858580565,SL_HIT,307.11670000000004,308.66,CLOSED,0.2,True,True
FL_2106,Flash_Reversal,SHORT,2024-12-22 21:06:00,318.02,2024-12-22 21:28:00,319.07,-0.003301679139676786,SL_HIT,318.02,318.02,CLOSED,0.4,True,False
FL_0129,Flash_Reversal,SHORT,2024-12-23 01:29:00,316.97,2024-12-23 01:37:00,322.47,-0.017351799854875855,SL_HIT,321.72455,316.97,CLOSED,1.0,False,False
FL_0311,Flash_Reversal,SHORT,2024-12-23 03:11:00,323.45,2024-12-23 03:27:00,328.62,-0.01598392332663477,SL_HIT,328.30174999999997,323.45,CLOSED,1.0,False,False
FL_0410,Flash_Reversal,SHORT,2024-12-23 04:10:00,334.2,2024-12-23 04:31:00,333.26,0.0028126870137642063,SL_HIT,332.45399999999995,330.8,CLOSED,0.2,True,True
FL_0810,Flash_Reversal,SHORT,2024-12-23 08:10:00,331.96,2024-12-23 08:31:00,333.02,-0.003193155801903851,SL_HIT,331.96,331.96,CLOSED,0.4,True,False
FL_1643,Flash_Reversal,SHORT,2024-12-23 16:43:00,345.14,2024-12-23 16:48:00,351.0,-0.01697861737266041,SL_HIT,350.3170999999999,345.14,CLOSED,1.0,False,False
FL_1851,Flash_Reversal,LONG,2024-12-23 18:51:00,348.21,2024-12-23 19:26:00,358.18,0.02863214726745363,SL_HIT,358.31940000000003,360.12,CLOSED,0.2,True,True
FL_2108,Flash_Reversal,SHORT,2024-12-23 21:08:00,372.08,2024-12-23 21:42:00,369.94,0.005751451300795491,SL_HIT,368.68424999999996,366.85,CLOSED,0.2,True,True
FL_2217,Flash_Reversal,SHORT,2024-12-23 22:17:00,381.41,2024-12-23 22:36:00,384.72,-0.008678325161899274,SL_HIT,381.41,381.41,CLOSED,0.4,True,False
FL_0741,Flash_Reversal,LONG,2024-12-27 07:41:00,333.18,2024-12-27 08:41:00,343.73,0.031664565700222136,SL_HIT,343.9914,345.72,CLOSED,0.2,True,True
FL_0905,Flash_Reversal,SHORT,2024-12-27 09:05:00,348.44,2024-12-27 09:20:00,348.85,-0.0011766731718517536,SL_HIT,348.44,348.44,CLOSED,0.4,True,False
FL_1440,Flash_Reversal,LONG,2024-12-27 14:40:00,327.04,2024-12-27 14:55:00,326.67,-0.0011313600782779003,SL_HIT,327.04,327.04,CLOSED,0.4,True,False
