Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Fibo_Target,SL,Peak_Price,status
FL_062700,Flash_Vol_Breakout,SHORT,2024-12-20 06:27:00,306.77,2024-12-20 06:34:00,304.03,0.008931772989536164,TP_FLASH,304.31584,305.16912,304.03,CLOSED
FL_080300,Flash_Vol_Breakout,SHORT,2024-12-20 08:03:00,305.24,2024-12-20 08:08:00,302.39,0.009336915214257708,TP_FLASH,302.79808,303.72624,302.39,CLOSED
FL_101400,Flash_Vol_Breakout,SHORT,2024-12-20 10:14:00,283.46,2024-12-20 10:15:00,284.85,-0.004903690115007561,SL_FLASH,281.19232,284.59384,283.46,CLOSED
FL_133000,Flash_Vol_Breakout,LONG,2024-12-20 13:30:00,292.8,2024-12-20 13:34:00,295.79,0.010211748633879813,TP_FLASH,295.1424,293.79124,295.79,CLOSED
FL_193600,Flash_Vol_Breakout,LONG,2024-12-20 19:36:00,335.59,2024-12-20 19:44:00,338.3,0.00807533001579319,TP_FLASH,338.27472,337.41382,338.3,CLOSED
FL_220400,Flash_Vol_Breakout,LONG,2024-12-20 22:04:00,326.33,2024-12-20 22:10:00,329.79,0.01060276407317757,TP_FLASH,328.94064,328.21226,329.79,CLOSED
FL_024000,Flash_Vol_Breakout,LONG,2024-12-21 02:40:00,334.18,2024-12-21 02:53:00,332.67,-0.004518522951702648,SL_FLASH,336.85344000000003,332.84328,335.8,CLOSED
FL_043800,Flash_Vol_Breakout,LONG,2024-12-21 04:38:00,335.48,2024-12-21 04:45:00,333.51,-0.00587218314057478,SL_FLASH,338.16384,334.13808,335.87,CLOSED
FL_093600,Flash_Vol_Breakout,LONG,2024-12-22 09:36:00,305.95,2024-12-22 09:40:00,308.41,0.008040529498284153,TP_FLASH,308.3976,306.92492000000004,308.41,CLOSED
FL_120100,Flash_Vol_Breakout,LONG,2024-12-22 12:01:00,308.74,2024-12-22 12:09:00,307.36,-0.0044697803977456615,SL_FLASH,311.20992,307.50504,308.95,CLOSED
FL_183200,Flash_Vol_Breakout,LONG,2024-12-22 18:32:00,310.4,2024-12-22 18:36:00,311.66,0.004059278350515618,SL_FLASH,312.8832,311.90493999999995,312.53,CLOSED
FL_210600,Flash_Vol_Breakout,LONG,2024-12-22 21:06:00,318.02,2024-12-22 21:10:00,318.77,0.00235834224262625,SL_FLASH,320.56415999999996,319.23026,319.87,CLOSED
FL_213200,Flash_Vol_Breakout,LONG,2024-12-22 21:32:00,322.52,2024-12-22 21:33:00,320.67,-0.005736078382735849,SL_FLASH,325.10015999999996,321.22992,322.52,CLOSED
FL_225800,Flash_Vol_Breakout,LONG,2024-12-22 22:58:00,319.37,2024-12-22 23:00:00,317.92,-0.004540188496101665,SL_FLASH,321.92496,318.09252,319.42,CLOSED
FL_031100,Flash_Vol_Breakout,LONG,2024-12-23 03:11:00,323.45,2024-12-23 03:20:00,321.98,-0.004544751893646531,SL_FLASH,326.0376,322.1562,324.03,CLOSED
FL_100100,Flash_Vol_Breakout,LONG,2024-12-23 10:01:00,341.27,2024-12-23 10:03:00,339.8,-0.004307439857004631,SL_FLASH,344.00016,339.90492,341.27,CLOSED
FL_164300,Flash_Vol_Breakout,LONG,2024-12-23 16:43:00,345.14,2024-12-23 16:47:00,348.84,0.010720287419597812,TP_FLASH,347.90112,346.60540000000003,348.84,CLOSED
FL_210800,Flash_Vol_Breakout,LONG,2024-12-23 21:08:00,372.08,2024-12-23 21:16:00,374.12,0.0054826918942163525,SL_FLASH,375.05663999999996,374.1502,374.9,CLOSED
FL_010700,Flash_Vol_Breakout,SHORT,2024-12-24 01:07:00,377.75,2024-12-24 01:10:00,379.29,-0.004076770350761139,SL_FLASH,374.728,379.261,377.75,CLOSED
FL_132300,Flash_Vol_Breakout,LONG,2024-12-24 13:23:00,376.25,2024-12-24 13:34:00,379.48,0.00858471760797347,TP_FLASH,379.26,377.91266,379.48,CLOSED
FL_152900,Flash_Vol_Breakout,LONG,2024-12-24 15:29:00,378.73,2024-12-24 15:33:00,376.75,-0.005227998838222528,SL_FLASH,381.75984,377.21508,379.64,CLOSED
FL_175400,Flash_Vol_Breakout,LONG,2024-12-24 17:54:00,378.67,2024-12-24 17:56:00,376.33,-0.0061795230675787145,SL_FLASH,381.69936,377.15532,378.67,CLOSED
FL_190300,Flash_Vol_Breakout,LONG,2024-12-24 19:03:00,378.19,2024-12-24 19:13:00,376.56,-0.004310002908590908,SL_FLASH,381.21552,376.67724,378.77,CLOSED
FL_200200,Flash_Vol_Breakout,SHORT,2024-12-24 20:02:00,376.38,2024-12-24 20:09:00,375.36,0.0027100271002709546,SL_FLASH,373.36896,374.86824,374.12,CLOSED
FL_004800,Flash_Vol_Breakout,SHORT,2024-12-25 00:48:00,370.78,2024-12-25 01:17:00,369.17,0.004342197529532221,SL_FLASH,367.81375999999995,368.736,368.0,CLOSED
FL_031200,Flash_Vol_Breakout,SHORT,2024-12-25 03:12:00,366.45,2024-12-25 03:53:00,368.4,-0.005321326238231652,SL_FLASH,363.5184,367.9158,364.66,CLOSED
FL_035500,Flash_Vol_Breakout,LONG,2024-12-25 03:55:00,369.68,2024-12-25 04:06:00,368.12,-0.004219865829906953,SL_FLASH,372.63744,368.20128,369.68,CLOSED
FL_051300,Flash_Vol_Breakout,LONG,2024-12-25 05:13:00,376.49,2024-12-25 05:18:00,374.95,-0.00409041408802364,SL_FLASH,379.50192,374.98404,376.53,CLOSED
FL_070100,Flash_Vol_Breakout,LONG,2024-12-25 07:01:00,379.54,2024-12-25 07:31:00,382.71,0.008352215840227536,TP_FLASH,382.57632,381.21604,382.71,CLOSED
FL_081800,Flash_Vol_Breakout,LONG,2024-12-25 08:18:00,384.93,2024-12-25 08:21:00,383.05,-0.004884004884004872,SL_FLASH,388.00944,383.39028,385.24,CLOSED
FL_095300,Flash_Vol_Breakout,LONG,2024-12-25 09:53:00,381.43,2024-12-25 10:07:00,382.44,0.002647930157564929,SL_FLASH,384.48144,382.80286,383.57,CLOSED
