Grid_ID,Side,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Qty_Closed,PnL_USD,PnL_Pct,Reason,Entry_RSI,Entry_ADX,Entry_BBW,System_Load_Entry,System_Load_Exit,MAE_Pct,Duration_Min
G_1734923700,SHORT,2024-12-23 03:15:00,2024-12-23 06:00:00,329.2,324.322,0.1,0.49,1.48,TP_MAIN_MID,60.41,23.33,0.046,1,3,-1.92,165
G_1734926400,SHORT,2024-12-23 04:00:00,2024-12-23 06:00:00,333.23,324.322,0.1,0.89,2.67,TP_MAIN_MID,67.78,27.43,0.0697,2,3,-0.6,120
G_1734923700,SHORT,2024-12-23 03:15:00,2024-12-23 08:00:00,329.2,329.2,0.1,0.0,0.0,RUNNER_BE,60.41,23.33,0.046,1,3,-1.92,285
G_1734926400,SHORT,2024-12-23 04:00:00,2024-12-23 08:00:00,333.23,333.23,0.1,0.0,0.0,RUNNER_BE,67.78,27.43,0.0697,2,3,-0.6,240
G_1734944400,SHORT,2024-12-23 09:00:00,2024-12-23 12:00:00,337.23,335.45099999999996,0.1,0.18,0.53,TP_MAIN_MID,67.9,23.69,0.0546,2,4,-1.67,180
G_1734948000,SHORT,2024-12-23 10:00:00,2024-12-23 12:00:00,341.23,335.45099999999996,0.1,0.58,1.69,TP_MAIN_MID,82.32,29.31,0.0741,3,4,-0.47,120
G_1734944400,SHORT,2024-12-23 09:00:00,2024-12-23 12:15:00,337.23,337.23,0.1,0.0,0.0,RUNNER_BE,67.9,23.69,0.0546,2,4,-1.67,195
G_1734948000,SHORT,2024-12-23 10:00:00,2024-12-23 12:30:00,341.23,341.23,0.1,0.0,0.0,RUNNER_BE,82.32,29.31,0.0741,3,3,-0.47,150
G_1734960600,LONG,2024-12-23 13:30:00,2024-12-23 14:00:00,334.28,337.928,0.1,0.36,1.09,TP_MAIN_MID,31.12,26.9,0.02,2,3,-0.33,30
G_1734960600,LONG,2024-12-23 13:30:00,2024-12-23 14:30:00,334.28,334.28,0.1,0.0,0.0,RUNNER_BE,31.12,26.9,0.02,2,4,-0.33,60
G_1734962400,SHORT,2024-12-23 14:00:00,2024-12-23 14:30:00,338.74,337.9045,0.1,0.08,0.25,TP_MAIN_MID,48.8,25.01,0.0199,3,4,-0.66,30
G_1734962400,SHORT,2024-12-23 14:00:00,2024-12-23 16:00:00,338.74,338.74,0.1,0.0,0.0,RUNNER_BE,48.8,25.01,0.0199,3,6,-0.66,120
G_1734964200,LONG,2024-12-23 14:30:00,2024-12-23 16:00:00,335.09,336.1355,0.1,0.1,0.31,TP_MAIN_MID,43.93,23.21,0.0206,4,6,-2.03,90
G_1734966000,LONG,2024-12-23 15:00:00,2024-12-23 16:00:00,330.0,336.1355,0.1,0.61,1.86,TP_MAIN_MID,34.67,21.64,0.0261,4,6,-0.52,60
G_1734966900,LONG,2024-12-23 15:15:00,2024-12-23 16:00:00,332.48,336.1355,0.1,0.37,1.1,TP_MAIN_MID,42.14,21.48,0.0273,5,6,-0.48,45
G_1734986700,SHORT,2024-12-23 20:45:00,2024-12-26 03:15:00,364.69,364.347,0.1,0.03,0.09,TP_MAIN_MID,75.86,37.86,0.0674,9,10,-6.98,3270
G_1734976800,SHORT,2024-12-23 18:00:00,2024-12-26 06:30:00,355.96,355.858,0.1,0.01,0.03,TP_MAIN_MID,77.98,29.62,0.0849,8,10,-9.61,3630
G_1734972300,SHORT,2024-12-23 16:45:00,2024-12-26 08:45:00,350.44,349.852,0.1,0.06,0.17,TP_MAIN_MID,69.13,21.43,0.0511,7,10,-11.33,3840
G_1734971400,SHORT,2024-12-23 16:30:00,2024-12-26 10:15:00,346.05,346.023,0.1,0.0,0.01,TP_MAIN_MID,65.66,19.78,0.0395,6,10,-12.74,3945
G_1734970500,SHORT,2024-12-23 16:15:00,2024-12-26 11:45:00,343.31,343.0555,0.1,0.03,0.07,TP_MAIN_MID,57.91,19.11,0.0324,5,10,-13.64,4050
G_1734964200,LONG,2024-12-23 14:30:00,2024-12-26 17:15:00,335.09,335.09,0.1,0.0,0.0,RUNNER_BE,43.93,23.21,0.0206,4,10,-2.03,4485
G_1735234200,LONG,2024-12-26 17:30:00,2024-12-26 19:45:00,335.15,336.121,0.1,0.1,0.29,TP_MAIN_MID,32.17,30.85,0.0159,9,10,-0.72,135
G_1735234200,LONG,2024-12-26 17:30:00,2024-12-26 20:00:00,335.15,335.15,0.1,0.0,0.0,RUNNER_BE,32.17,30.85,0.0159,9,10,-0.72,150
G_1734966900,LONG,2024-12-23 15:15:00,2024-12-26 20:15:00,332.48,332.48,0.1,0.0,0.0,RUNNER_BE,42.14,21.48,0.0273,5,9,-0.48,4620
G_1735244100,LONG,2024-12-26 20:15:00,2024-12-26 21:30:00,332.52,334.696,0.1,0.22,0.65,TP_MAIN_MID,28.04,33.05,0.0187,9,10,-0.6,75
G_1735247700,LONG,2024-12-26 21:15:00,2024-12-26 21:30:00,333.82,334.696,0.1,0.09,0.26,TP_MAIN_MID,48.29,35.86,0.0215,9,10,-0.32,15
G_1734970500,SHORT,2024-12-23 16:15:00,2024-12-27 01:15:00,343.31,343.31,0.1,0.0,0.0,RUNNER_BE,57.91,19.11,0.0324,5,10,-13.64,4860
G_1734971400,SHORT,2024-12-23 16:30:00,2024-12-27 01:30:00,346.05,346.05,0.1,0.0,0.0,RUNNER_BE,65.66,19.78,0.0395,6,9,-12.74,4860
G_1734972300,SHORT,2024-12-23 16:45:00,2024-12-27 01:30:00,350.44,350.44,0.1,0.0,0.0,RUNNER_BE,69.13,21.43,0.0511,7,9,-11.33,4845
G_1735263000,SHORT,2024-12-27 01:30:00,2024-12-27 03:00:00,349.85,341.023,0.1,0.88,2.52,TP_MAIN_MID,68.0,19.87,0.0425,9,9,-0.24,90
G_1735263900,SHORT,2024-12-27 01:45:00,2024-12-27 03:00:00,346.87,341.023,0.1,0.58,1.69,TP_MAIN_MID,60.22,21.75,0.0452,8,9,-1.04,75
G_1735247700,LONG,2024-12-26 21:15:00,2024-12-27 07:30:00,333.82,333.82,0.1,0.0,0.0,RUNNER_BE,48.29,35.86,0.0215,9,10,-0.32,615
G_1735283700,LONG,2024-12-27 07:15:00,2024-12-27 08:00:00,338.21,340.6085,0.1,0.24,0.71,TP_MAIN_MID,34.98,11.87,0.0198,9,10,-1.58,45
G_1735285500,LONG,2024-12-27 07:45:00,2024-12-27 08:00:00,335.75,340.6085,0.1,0.49,1.45,TP_MAIN_MID,25.45,15.17,0.0265,9,10,0.0,15
G_1735263000,SHORT,2024-12-27 01:30:00,2024-12-27 09:00:00,349.85,349.85,0.1,0.0,0.0,RUNNER_BE,68.0,19.87,0.0425,9,10,-0.64,450
G_1735263900,SHORT,2024-12-27 01:45:00,2024-12-27 09:00:00,346.87,346.87,0.1,0.0,0.0,RUNNER_BE,60.22,21.75,0.0452,8,10,-1.5,435
G_1735290900,SHORT,2024-12-27 09:15:00,2024-12-27 10:30:00,346.54,342.214,0.1,0.43,1.25,TP_MAIN_MID,60.61,14.54,0.0352,8,10,-0.82,75
G_1735291800,SHORT,2024-12-27 09:30:00,2024-12-27 10:30:00,348.91,342.214,0.1,0.67,1.92,TP_MAIN_MID,63.18,15.25,0.0397,9,10,-0.12,60
G_1735283700,LONG,2024-12-27 07:15:00,2024-12-27 13:00:00,338.21,338.21,0.1,0.0,0.0,RUNNER_BE,34.98,11.87,0.0198,9,10,-1.58,345
G_1735285500,LONG,2024-12-27 07:45:00,2024-12-27 13:00:00,335.75,335.75,0.1,0.0,0.0,RUNNER_BE,25.45,15.17,0.0265,9,10,-0.39,315
G_1735244100,LONG,2024-12-26 20:15:00,2024-12-27 14:00:00,332.52,332.52,0.1,0.0,0.0,RUNNER_BE,28.04,33.05,0.0187,9,9,-0.6,1065
G_1734966000,LONG,2024-12-23 15:00:00,2024-12-27 14:30:00,330.0,330.0,0.1,0.0,0.0,RUNNER_BE,34.67,21.64,0.0261,4,9,-1.18,5730
G_1734940800,SHORT,2024-12-23 08:00:00,2024-12-27 16:00:00,333.67,333.2215,0.1,0.04,0.13,TP_MAIN_MID,57.64,19.18,0.0431,3,10,-16.93,6240
G_1735309800,LONG,2024-12-27 14:30:00,2024-12-27 17:30:00,327.14,327.9905,0.1,0.09,0.26,TP_MAIN_MID,3.14,24.65,0.0532,9,10,-2.07,180
G_1735310700,LONG,2024-12-27 14:45:00,2024-12-27 17:30:00,325.66,327.9905,0.1,0.23,0.72,TP_MAIN_MID,3.08,27.18,0.0593,9,10,-1.62,165
G_1735309800,LONG,2024-12-27 14:30:00,2024-12-27 17:45:00,327.14,327.14,0.1,0.0,0.0,RUNNER_BE,3.14,24.65,0.0532,9,10,-2.07,195
G_1735310700,LONG,2024-12-27 14:45:00,2024-12-27 19:30:00,325.66,325.66,0.1,0.0,0.0,RUNNER_BE,3.08,27.18,0.0593,9,9,-1.62,285
G_1735336800,LONG,2024-12-27 22:00:00,2024-12-27 22:30:00,325.22,326.091,0.1,0.09,0.27,TP_MAIN_MID,37.01,25.37,0.0216,8,9,-0.39,30
G_1735336800,LONG,2024-12-27 22:00:00,2024-12-27 22:45:00,325.22,325.22,0.1,0.0,0.0,RUNNER_BE,37.01,25.37,0.0216,8,9,-0.59,45
G_1735342200,LONG,2024-12-27 23:30:00,2024-12-28 00:00:00,323.19,324.9475,0.1,0.18,0.54,TP_MAIN_MID,46.22,26.05,0.0161,8,9,-0.01,30
G_1735344000,SHORT,2024-12-28 00:00:00,2024-12-28 00:30:00,326.94,324.9365,0.1,0.2,0.61,TP_MAIN_MID,56.32,24.49,0.0139,9,10,-0.45,30
G_1735342200,LONG,2024-12-27 23:30:00,2024-12-28 01:00:00,323.19,323.19,0.1,0.0,0.0,RUNNER_BE,46.22,26.05,0.0161,8,10,-0.08,90
G_1735348500,LONG,2024-12-28 01:15:00,2024-12-28 01:30:00,322.51,324.5265,0.1,0.2,0.63,TP_MAIN_MID,48.14,21.05,0.0146,9,10,-0.2,15
G_1735348500,LONG,2024-12-28 01:15:00,2024-12-28 01:45:00,322.51,322.51,0.1,0.0,0.0,RUNNER_BE,48.14,21.05,0.0146,9,10,-0.2,30
G_1734922800,SHORT,2024-12-23 03:00:00,2024-12-28 05:00:00,324.02,323.925,0.1,0.01,0.03,TP_MAIN_MID,57.27,22.35,0.0348,0,9,-20.41,7320
G_1734922800,SHORT,2024-12-23 03:00:00,2024-12-28 07:00:00,324.02,324.02,0.1,0.0,0.0,RUNNER_BE,57.27,22.35,0.0348,0,10,-20.41,7440
G_1735363800,LONG,2024-12-28 05:30:00,2024-12-28 07:00:00,322.66,323.0995,0.1,0.04,0.14,TP_MAIN_MID,33.99,12.76,0.0075,9,10,-1.21,90
G_1735363800,LONG,2024-12-28 05:30:00,2024-12-28 08:00:00,322.66,322.66,0.1,0.0,0.0,RUNNER_BE,33.99,12.76,0.0075,9,10,-1.21,150
G_1735371000,SHORT,2024-12-28 07:30:00,2024-12-28 08:00:00,324.39,323.1885,0.1,0.12,0.37,TP_MAIN_MID,56.91,13.33,0.0129,9,10,-0.27,30
G_1735371000,SHORT,2024-12-28 07:30:00,2024-12-28 08:15:00,324.39,324.39,0.1,0.0,0.0,RUNNER_BE,56.91,13.33,0.0129,9,9,-0.27,45
G_1735344000,SHORT,2024-12-28 00:00:00,2024-12-28 09:15:00,326.94,326.94,0.1,0.0,0.0,RUNNER_BE,56.32,24.49,0.0139,9,9,-0.45,555
G_1734940800,SHORT,2024-12-23 08:00:00,2024-12-28 12:00:00,333.67,333.67,0.1,0.0,0.0,RUNNER_BE,57.64,19.18,0.0431,3,10,-16.93,7440
G_1735388100,SHORT,2024-12-28 12:15:00,2024-12-28 15:00:00,332.89,332.324,0.1,0.06,0.17,TP_MAIN_MID,77.08,16.74,0.0297,9,10,-2.13,165
G_1735388100,SHORT,2024-12-28 12:15:00,2024-12-28 15:15:00,332.89,332.89,0.1,0.0,0.0,RUNNER_BE,77.08,16.74,0.0297,9,10,-2.13,180
G_1735308000,LONG,2024-12-27 14:00:00,2024-12-28 16:30:00,332.63,333.58299999999997,0.1,0.1,0.29,TP_MAIN_MID,18.75,20.32,0.0478,9,9,-4.18,1590
G_1735308000,LONG,2024-12-27 14:00:00,2024-12-28 16:45:00,332.63,332.63,0.1,0.0,0.0,RUNNER_BE,18.75,20.32,0.0478,9,9,-4.18,1605
G_1735406100,SHORT,2024-12-28 17:15:00,2024-12-28 18:00:00,337.74,334.46500000000003,0.1,0.33,0.97,TP_MAIN_MID,51.11,21.95,0.025,8,9,-0.15,45
