Grid_ID,Side,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Qty_Closed,PnL_USD,PnL_Pct,Reason,Entry_ADX,Duration_Min,MAE_Pct
G_1734923700,SHORT,2024-12-23 03:15:00,2024-12-23 06:00:00,329.2,324.322,0.1,0.49,1.48,TP_MAIN_MID,23.33,165,-1.92
G_1734923700,SHORT,2024-12-23 03:15:00,2024-12-23 08:00:00,329.2,329.2,0.1,0.0,0.0,RUNNER_BE,23.33,285,-1.92
G_1734948000,SHORT,2024-12-23 10:00:00,2024-12-23 12:00:00,341.23,335.45099999999996,0.1,0.58,1.69,TP_MAIN_MID,29.31,120,-0.47
G_1734948000,SHORT,2024-12-23 10:00:00,2024-12-23 12:30:00,341.23,341.23,0.1,0.0,0.0,RUNNER_BE,29.31,150,-0.47
G_1734960600,LONG,2024-12-23 13:30:00,2024-12-23 14:00:00,334.28,337.928,0.1,0.36,1.09,TP_MAIN_MID,26.9,30,-0.33
G_1734960600,LONG,2024-12-23 13:30:00,2024-12-23 14:30:00,334.28,334.28,0.1,0.0,0.0,RUNNER_BE,26.9,60,-0.33
G_1734966000,LONG,2024-12-23 15:00:00,2024-12-23 16:00:00,330.0,336.1355,0.1,0.61,1.86,TP_MAIN_MID,21.64,60,-0.52
G_1735030800,LONG,2024-12-24 09:00:00,2024-12-24 11:45:00,371.04,372.2405,0.1,0.12,0.32,TP_MAIN_MID,19.58,165,-1.57
G_1735043400,SHORT,2024-12-24 12:30:00,2024-12-24 15:00:00,375.86,373.52750000000003,0.1,0.23,0.62,TP_MAIN_MID,20.04,150,-1.07
G_1735043400,SHORT,2024-12-24 12:30:00,2024-12-24 15:15:00,375.86,375.86,0.1,0.0,0.0,RUNNER_BE,20.04,165,-1.07
G_1735026300,LONG,2024-12-24 07:45:00,2024-12-24 16:45:00,376.05,376.077,0.1,0.0,0.01,TP_MAIN_MID,22.34,540,-2.88
G_1735026300,LONG,2024-12-24 07:45:00,2024-12-24 17:15:00,376.05,376.05,0.1,0.0,0.0,RUNNER_BE,22.34,570,-2.88
G_1735083000,SHORT,2024-12-24 23:30:00,2024-12-24 23:45:00,376.89,375.554,0.1,0.13,0.35,TP_MAIN_MID,14.23,15,-0.09
G_1735083000,SHORT,2024-12-24 23:30:00,2024-12-25 00:00:00,376.89,376.89,0.1,0.0,0.0,RUNNER_BE,14.23,30,-0.09
G_1735030800,LONG,2024-12-24 09:00:00,2024-12-25 00:45:00,371.04,371.04,0.1,0.0,0.0,RUNNER_BE,19.58,945,-1.57
G_1735087500,LONG,2024-12-25 00:45:00,2024-12-25 04:00:00,369.38,369.74699999999996,0.1,0.04,0.1,TP_MAIN_MID,12.64,195,-1.29
G_1735087500,LONG,2024-12-25 00:45:00,2024-12-25 04:15:00,369.38,369.38,0.1,0.0,0.0,RUNNER_BE,12.64,210,-1.29
G_1735102800,SHORT,2024-12-25 05:00:00,2024-12-25 14:30:00,376.58,376.203,0.1,0.04,0.1,TP_MAIN_MID,17.02,570,-2.5
G_1735104600,SHORT,2024-12-25 05:30:00,2024-12-25 16:00:00,372.78,372.7185,0.1,0.01,0.02,TP_MAIN_MID,19.47,630,-3.55
G_1735141500,LONG,2024-12-25 15:45:00,2024-12-25 17:15:00,368.83,371.232,0.1,0.24,0.65,TP_MAIN_MID,19.35,90,-1.08
G_1735144200,LONG,2024-12-25 16:30:00,2024-12-25 17:15:00,365.39,371.232,0.1,0.58,1.6,TP_MAIN_MID,22.54,45,-0.08
G_1735104600,SHORT,2024-12-25 05:30:00,2024-12-25 18:45:00,372.78,372.78,0.1,0.0,0.0,RUNNER_BE,19.47,795,-3.55
G_1735141500,LONG,2024-12-25 15:45:00,2024-12-25 20:30:00,368.83,368.83,0.1,0.0,0.0,RUNNER_BE,19.35,285,-1.08
G_1735144200,LONG,2024-12-25 16:30:00,2024-12-26 00:30:00,365.39,365.39,0.1,0.0,0.0,RUNNER_BE,22.54,480,-0.74
G_1734976800,SHORT,2024-12-23 18:00:00,2024-12-26 06:30:00,355.96,355.858,0.1,0.01,0.03,TP_MAIN_MID,29.62,3630,-9.61
G_1734971400,SHORT,2024-12-23 16:30:00,2024-12-26 10:15:00,346.05,346.023,0.1,0.0,0.01,TP_MAIN_MID,19.78,3945,-12.74
G_1734943500,SHORT,2024-12-23 08:45:00,2024-12-26 21:15:00,334.93,334.829,0.1,0.01,0.03,TP_MAIN_MID,22.06,5070,-16.49
G_1734943500,SHORT,2024-12-23 08:45:00,2024-12-26 21:30:00,334.93,334.93,0.1,0.0,0.0,RUNNER_BE,22.06,5085,-16.49
G_1735251300,SHORT,2024-12-26 22:15:00,2024-12-26 23:00:00,340.31,335.541,0.1,0.48,1.4,TP_MAIN_MID,29.22,45,-0.46
G_1735251300,SHORT,2024-12-26 22:15:00,2024-12-26 23:45:00,340.31,340.31,0.1,0.0,0.0,RUNNER_BE,29.22,90,-0.46
G_1734971400,SHORT,2024-12-23 16:30:00,2024-12-27 01:30:00,346.05,346.05,0.1,0.0,0.0,RUNNER_BE,19.78,4860,-12.74
G_1735263000,SHORT,2024-12-27 01:30:00,2024-12-27 03:00:00,349.85,341.023,0.1,0.88,2.52,TP_MAIN_MID,19.87,90,-0.24
G_1735283700,LONG,2024-12-27 07:15:00,2024-12-27 08:00:00,338.21,340.6085,0.1,0.24,0.71,TP_MAIN_MID,11.87,45,-1.58
G_1735288200,SHORT,2024-12-27 08:30:00,2024-12-27 08:45:00,343.16,340.6565,0.1,0.25,0.73,TP_MAIN_MID,13.42,15,-0.15
G_1735263000,SHORT,2024-12-27 01:30:00,2024-12-27 09:00:00,349.85,349.85,0.1,0.0,0.0,RUNNER_BE,19.87,450,-0.64
G_1735288200,SHORT,2024-12-27 08:30:00,2024-12-27 09:00:00,343.16,343.16,0.1,0.0,0.0,RUNNER_BE,13.42,30,-2.6
G_1735290000,SHORT,2024-12-27 09:00:00,2024-12-27 10:30:00,350.16,342.214,0.1,0.79,2.27,TP_MAIN_MID,13.65,90,-0.01
G_1735283700,LONG,2024-12-27 07:15:00,2024-12-27 13:00:00,338.21,338.21,0.1,0.0,0.0,RUNNER_BE,11.87,345,-1.58
G_1734966000,LONG,2024-12-23 15:00:00,2024-12-27 14:30:00,330.0,330.0,0.1,0.0,0.0,RUNNER_BE,21.64,5730,-1.18
G_1735309800,LONG,2024-12-27 14:30:00,2024-12-27 17:30:00,327.14,327.9905,0.1,0.09,0.26,TP_MAIN_MID,24.65,180,-2.07
