ID,Side,Entry_Date,Exit_Date,Reason,PnL_USD,Duration_Days
L_1734960600_0,LONG,2024-12-23 13:30:00,2024-12-24 09:00:00,SHADOW_TRAIL,34.37,0.8125
S_1734987600_4,SHORT,2024-12-23 21:00:00,2024-12-27 01:30:00,SHADOW_TRAIL,19.09,3.1875
S_1734962400_2,SHORT,2024-12-23 14:00:00,2024-12-28 13:45:00,SHADOW_TRAIL,2.54,4.989583333333333
S_1734971400_3,SHORT,2024-12-23 16:30:00,2024-12-28 17:15:00,SHADOW_TRAIL,8.8,5.03125
S_1735288200_4,SHORT,2024-12-27 08:30:00,2024-12-28 17:15:00,SHADOW_TRAIL,6.98,1.3645833333333333
S_1734926400_1,SHORT,2024-12-23 04:00:00,2024-12-31 14:00:00,SHADOW_TRAIL,6.11,8.416666666666666
S_1735395300_4,SHORT,2024-12-28 14:15:00,2024-12-31 14:00:00,SHADOW_TRAIL,9.53,2.9895833333333335
S_1735409700_3,SHORT,2024-12-28 18:15:00,2024-12-31 14:00:00,SHADOW_TRAIL,13.97,2.8229166666666665
S_1735410600_4,SHORT,2024-12-28 18:30:00,2024-12-31 14:00:00,SHADOW_TRAIL,12.3,2.8125
S_1734922800_0,SHORT,2024-12-23 03:00:00,2024-12-31 14:15:00,SHADOW_TRAIL,0.04,8.46875
S_1735654500_0,SHORT,2024-12-31 14:15:00,2025-01-02 00:45:00,SHADOW_TRAIL,0.54,1.4375
S_1735692300_1,SHORT,2025-01-01 00:45:00,2025-01-08 19:15:00,SHADOW_TRAIL,18.74,7.770833333333333
S_1735697700_2,SHORT,2025-01-01 02:15:00,2025-01-08 19:15:00,SHADOW_TRAIL,21.27,7.708333333333333
S_1735715700_3,SHORT,2025-01-01 07:15:00,2025-01-08 19:15:00,SHADOW_TRAIL,18.94,7.5
S_1735746300_4,SHORT,2025-01-01 15:45:00,2025-01-08 22:30:00,SHADOW_TRAIL,23.53,7.28125
S_1735778700_4,SHORT,2025-01-02 00:45:00,2025-01-08 22:30:00,SHADOW_TRAIL,27.78,6.90625
S_1736385300_0,SHORT,2025-01-09 01:15:00,2025-01-09 16:30:00,SHADOW_TRAIL,6.08,0.6354166666666666
S_1736491500_4,SHORT,2025-01-10 06:45:00,2025-01-11 21:15:00,SHADOW_TRAIL,4.13,1.6041666666666667
S_1736467200_1,SHORT,2025-01-10 00:00:00,2025-01-13 14:45:00,SHADOW_TRAIL,13.51,3.6145833333333335
S_1736437500_1,SHORT,2025-01-09 15:45:00,2025-01-13 15:00:00,SHADOW_TRAIL,14.49,3.96875
S_1736475300_2,SHORT,2025-01-10 02:15:00,2025-01-13 15:00:00,SHADOW_TRAIL,13.71,3.53125
S_1736487000_3,SHORT,2025-01-10 05:30:00,2025-01-13 15:00:00,SHADOW_TRAIL,17.52,3.3958333333333335
S_1736650800_4,SHORT,2025-01-12 03:00:00,2025-01-13 15:00:00,SHADOW_TRAIL,14.76,1.5
S_1736847000_4,SHORT,2025-01-14 09:30:00,2025-01-29 05:45:00,SHADOW_TRAIL,3.03,14.84375
S_1736779500_4,SHORT,2025-01-13 14:45:00,2025-02-03 06:15:00,SHADOW_TRAIL,43.25,20.645833333333332
S_1736800200_1,SHORT,2025-01-13 20:30:00,2025-02-03 06:15:00,SHADOW_TRAIL,49.47,20.40625
S_1736803800_2,SHORT,2025-01-13 21:30:00,2025-02-03 06:15:00,SHADOW_TRAIL,54.5,20.364583333333332
S_1736822700_3,SHORT,2025-01-14 02:45:00,2025-02-03 06:15:00,SHADOW_TRAIL,62.97,20.145833333333332
S_1738171800_4,SHORT,2025-01-29 17:30:00,2025-02-03 06:15:00,SHADOW_TRAIL,60.77,4.53125
S_1738610100_3,SHORT,2025-02-03 19:15:00,2025-02-04 12:45:00,SHADOW_TRAIL,8.13,0.7291666666666666
S_1738611000_4,SHORT,2025-02-03 19:30:00,2025-02-04 13:00:00,SHADOW_TRAIL,8.26,0.7291666666666666
S_1738674000_3,SHORT,2025-02-04 13:00:00,2025-02-04 22:30:00,SHADOW_TRAIL,4.09,0.3958333333333333
S_1738695600_4,SHORT,2025-02-04 19:00:00,2025-02-04 22:30:00,SHADOW_TRAIL,4.35,0.14583333333333334
S_1738596600_2,SHORT,2025-02-03 15:30:00,2025-02-07 11:00:00,SHADOW_TRAIL,13.13,3.8125
S_1738734300_3,SHORT,2025-02-05 05:45:00,2025-02-07 11:45:00,SHADOW_TRAIL,22.28,2.25
S_1738753200_4,SHORT,2025-02-05 11:00:00,2025-02-07 11:45:00,SHADOW_TRAIL,17.72,2.03125
S_1738593900_1,SHORT,2025-02-03 14:45:00,2025-02-09 03:15:00,SHADOW_TRAIL,6.4,5.520833333333333
S_1738935000_2,SHORT,2025-02-07 13:30:00,2025-02-09 03:15:00,SHADOW_TRAIL,11.79,1.5729166666666667
S_1738937700_3,SHORT,2025-02-07 14:15:00,2025-02-09 03:15:00,SHADOW_TRAIL,11.82,1.5416666666666667
S_1738938600_4,SHORT,2025-02-07 14:30:00,2025-02-09 03:15:00,SHADOW_TRAIL,8.3,1.53125
S_1739070900_1,SHORT,2025-02-09 03:15:00,2025-02-10 00:00:00,SHADOW_TRAIL,3.64,0.8645833333333334
S_1739071800_2,SHORT,2025-02-09 03:30:00,2025-02-10 00:00:00,SHADOW_TRAIL,5.34,0.8541666666666666
S_1739073600_3,SHORT,2025-02-09 04:00:00,2025-02-10 00:00:00,SHADOW_TRAIL,2.51,0.8333333333333334
S_1739174400_1,SHORT,2025-02-10 08:00:00,2025-02-12 17:15:00,SHADOW_TRAIL,2.63,2.3854166666666665
S_1739195100_2,SHORT,2025-02-10 13:45:00,2025-02-12 17:15:00,SHADOW_TRAIL,7.65,2.1458333333333335
S_1739196000_3,SHORT,2025-02-10 14:00:00,2025-02-12 17:15:00,SHADOW_TRAIL,3.45,2.1354166666666665
S_1739213100_4,SHORT,2025-02-10 18:45:00,2025-02-12 17:15:00,SHADOW_TRAIL,8.77,1.9375
S_1739398500_2,SHORT,2025-02-12 22:15:00,2025-02-19 09:45:00,SHADOW_TRAIL,3.18,6.479166666666667
S_1739441700_4,SHORT,2025-02-13 10:15:00,2025-02-19 09:45:00,SHADOW_TRAIL,3.09,5.979166666666667
S_1739400300_3,SHORT,2025-02-12 22:45:00,2025-02-23 07:30:00,SHADOW_TRAIL,2.76,10.364583333333334
S_1739959200_3,SHORT,2025-02-19 10:00:00,2025-02-23 07:30:00,SHADOW_TRAIL,7.03,3.8958333333333335
S_1739997900_4,SHORT,2025-02-19 20:45:00,2025-02-23 07:30:00,SHADOW_TRAIL,2.24,3.4479166666666665
S_1739380500_1,SHORT,2025-02-12 17:15:00,2025-02-23 08:00:00,SHADOW_TRAIL,0.32,10.614583333333334
S_1738567800_0,SHORT,2025-02-03 07:30:00,2025-02-25 21:45:00,SHADOW_TRAIL,44.76,22.59375
S_1740296700_2,SHORT,2025-02-23 07:45:00,2025-02-25 22:45:00,SHADOW_TRAIL,38.3,2.625
S_1740297600_2,SHORT,2025-02-23 08:00:00,2025-02-25 22:45:00,SHADOW_TRAIL,36.85,2.6145833333333335
S_1740351600_3,SHORT,2025-02-23 23:00:00,2025-02-25 22:45:00,SHADOW_TRAIL,33.54,1.9895833333333333
S_1740352500_4,SHORT,2025-02-23 23:15:00,2025-02-25 22:45:00,SHADOW_TRAIL,49.14,1.9791666666666667
S_1740519900_4,SHORT,2025-02-25 21:45:00,2025-02-26 21:45:00,SHADOW_TRAIL,2.86,1.0
S_1740538800_1,SHORT,2025-02-26 03:00:00,2025-02-26 21:45:00,SHADOW_TRAIL,6.41,0.78125
S_1740566700_2,SHORT,2025-02-26 10:45:00,2025-02-26 21:45:00,SHADOW_TRAIL,6.02,0.4583333333333333
S_1740607200_0,SHORT,2025-02-26 22:00:00,2025-02-28 15:00:00,SHADOW_TRAIL,17.28,1.7083333333333333
S_1740651300_1,SHORT,2025-02-27 10:15:00,2025-02-28 15:00:00,SHADOW_TRAIL,19.13,1.1979166666666667
S_1740700800_2,SHORT,2025-02-28 00:00:00,2025-02-28 15:00:00,SHADOW_TRAIL,13.43,0.625
S_1740749400_4,SHORT,2025-02-28 13:30:00,2025-03-04 12:30:00,SHADOW_TRAIL,4.93,3.9583333333333335
S_1740754800_2,SHORT,2025-02-28 15:00:00,2025-03-04 12:30:00,SHADOW_TRAIL,9.88,3.8958333333333335
S_1740785400_3,SHORT,2025-02-28 23:30:00,2025-03-04 12:30:00,SHADOW_TRAIL,14.33,3.5416666666666665
S_1740843000_4,SHORT,2025-03-01 15:30:00,2025-03-04 12:30:00,SHADOW_TRAIL,6.02,2.875
S_1740747600_3,SHORT,2025-02-28 13:00:00,2025-03-04 13:00:00,SHADOW_TRAIL,0.04,4.0
S_1741098600_2,SHORT,2025-03-04 14:30:00,2025-03-08 18:45:00,SHADOW_TRAIL,0.02,4.177083333333333
S_1741107600_3,SHORT,2025-03-04 17:00:00,2025-03-08 19:15:00,SHADOW_TRAIL,8.91,4.09375
S_1741108500_4,SHORT,2025-03-04 17:15:00,2025-03-08 19:15:00,SHADOW_TRAIL,19.31,4.083333333333333
S_1741092300_1,SHORT,2025-03-04 12:45:00,2025-03-10 02:30:00,SHADOW_TRAIL,4.35,5.572916666666667
S_1741093200_1,SHORT,2025-03-04 13:00:00,2025-03-10 02:30:00,SHADOW_TRAIL,0.39,5.5625
S_1741463100_2,SHORT,2025-03-08 19:45:00,2025-03-10 02:45:00,SHADOW_TRAIL,9.96,1.2916666666666667
S_1741532400_3,SHORT,2025-03-09 15:00:00,2025-03-10 02:45:00,SHADOW_TRAIL,5.8,0.4895833333333333
S_1741567500_4,SHORT,2025-03-10 00:45:00,2025-03-11 02:15:00,SHADOW_TRAIL,11.6,1.0625
S_1741579200_1,SHORT,2025-03-10 04:00:00,2025-03-11 03:00:00,SHADOW_TRAIL,25.95,0.9583333333333334
S_1741598100_2,SHORT,2025-03-10 09:15:00,2025-03-11 03:00:00,SHADOW_TRAIL,21.46,0.7395833333333334
S_1741599900_3,SHORT,2025-03-10 09:45:00,2025-03-11 03:00:00,SHADOW_TRAIL,18.59,0.71875
S_1741669200_0,SHORT,2025-03-11 05:00:00,2025-03-11 16:15:00,SHADOW_TRAIL,3.37,0.46875
S_1741766400_1,SHORT,2025-03-12 08:00:00,2025-03-12 21:00:00,SHADOW_TRAIL,3.56,0.5416666666666666
S_1741716000_0,SHORT,2025-03-11 18:00:00,2025-03-12 22:00:00,SHADOW_TRAIL,12.84,1.1666666666666667
S_1741812300_2,SHORT,2025-03-12 20:45:00,2025-03-14 14:30:00,SHADOW_TRAIL,4.49,1.7395833333333333
S_1741830300_1,SHORT,2025-03-13 01:45:00,2025-03-14 14:30:00,SHADOW_TRAIL,4.54,1.53125
S_1741856400_2,SHORT,2025-03-13 09:00:00,2025-03-14 14:30:00,SHADOW_TRAIL,4.25,1.2291666666666667
S_1741862700_3,SHORT,2025-03-13 10:45:00,2025-03-14 14:30:00,SHADOW_TRAIL,4.0,1.15625
S_1741964400_2,SHORT,2025-03-14 15:00:00,2025-03-17 17:30:00,SHADOW_TRAIL,0.53,3.1041666666666665
S_1741992300_3,SHORT,2025-03-14 22:45:00,2025-03-17 17:30:00,SHADOW_TRAIL,2.0,2.78125
S_1741993200_4,SHORT,2025-03-14 23:00:00,2025-03-17 17:30:00,SHADOW_TRAIL,2.42,2.7708333333333335
S_1742236200_3,SHORT,2025-03-17 18:30:00,2025-03-19 10:45:00,SHADOW_TRAIL,1.22,1.6770833333333333
S_1742232600_2,SHORT,2025-03-17 17:30:00,2025-03-20 10:30:00,SHADOW_TRAIL,0.23,2.7083333333333335
S_1742480100_4,SHORT,2025-03-20 14:15:00,2025-03-29 07:15:00,SHADOW_TRAIL,1.19,8.708333333333334
S_1741915800_4,SHORT,2025-03-14 01:30:00,2025-03-31 14:45:00,SHADOW_TRAIL,5.77,17.552083333333332
S_1741962600_1,SHORT,2025-03-14 14:30:00,2025-03-31 14:45:00,SHADOW_TRAIL,16.3,17.010416666666668
S_1742281200_4,SHORT,2025-03-18 07:00:00,2025-03-31 14:45:00,SHADOW_TRAIL,18.48,13.322916666666666
S_1742381100_4,SHORT,2025-03-19 10:45:00,2025-03-31 14:45:00,SHADOW_TRAIL,23.08,12.166666666666666
S_1743232500_4,SHORT,2025-03-29 07:15:00,2025-03-31 14:45:00,SHADOW_TRAIL,17.67,2.3125
S_1743489000_4,SHORT,2025-04-01 06:30:00,2025-04-02 17:00:00,SHADOW_TRAIL,1.71,1.4375
S_1743432300_0,SHORT,2025-03-31 14:45:00,2025-04-04 17:45:00,SHADOW_TRAIL,18.1,4.125
S_1743466500_1,SHORT,2025-04-01 00:15:00,2025-04-04 17:45:00,SHADOW_TRAIL,14.84,3.7291666666666665
S_1743476400_2,SHORT,2025-04-01 03:00:00,2025-04-04 17:45:00,SHADOW_TRAIL,17.68,3.6145833333333335
S_1743483600_3,SHORT,2025-04-01 05:00:00,2025-04-04 17:45:00,SHADOW_TRAIL,18.65,3.53125
S_1743624000_4,SHORT,2025-04-02 20:00:00,2025-04-04 21:30:00,SHADOW_TRAIL,15.42,2.0625
S_1743803100_0,SHORT,2025-04-04 21:45:00,2025-04-07 09:30:00,SHADOW_TRAIL,56.54,2.4895833333333335
S_1743815700_1,SHORT,2025-04-05 01:15:00,2025-04-07 09:30:00,SHADOW_TRAIL,39.16,2.34375
S_1743847200_2,SHORT,2025-04-05 10:00:00,2025-04-07 09:30:00,SHADOW_TRAIL,40.14,1.9791666666666667
S_1743879600_3,SHORT,2025-04-05 19:00:00,2025-04-07 09:30:00,SHADOW_TRAIL,37.38,1.6041666666666667
S_1744033500_1,SHORT,2025-04-07 13:45:00,2025-04-09 04:30:00,SHADOW_TRAIL,6.81,1.6145833333333333
S_1744034400_2,SHORT,2025-04-07 14:00:00,2025-04-09 04:30:00,SHADOW_TRAIL,11.61,1.6041666666666667
S_1744057800_3,SHORT,2025-04-07 20:30:00,2025-04-09 04:30:00,SHADOW_TRAIL,9.99,1.3333333333333333
S_1744111800_4,SHORT,2025-04-08 11:30:00,2025-04-09 04:30:00,SHADOW_TRAIL,13.43,0.7083333333333334
S_1744218900_2,SHORT,2025-04-09 17:15:00,2025-04-11 02:15:00,SHADOW_TRAIL,1.14,1.375
S_1744219800_3,SHORT,2025-04-09 17:30:00,2025-04-11 02:15:00,SHADOW_TRAIL,6.95,1.3645833333333333
S_1744220700_4,SHORT,2025-04-09 17:45:00,2025-04-11 02:15:00,SHADOW_TRAIL,12.99,1.3541666666666667
S_1744435800_4,SHORT,2025-04-12 05:30:00,2025-04-17 05:00:00,SHADOW_TRAIL,0.52,4.979166666666667
S_1744392600_3,SHORT,2025-04-11 17:30:00,2025-04-17 05:15:00,SHADOW_TRAIL,2.85,5.489583333333333
