Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,status
SN_202114,Sniper_1H_1m,LONG,2024-12-20 21:14:00,321.03,2024-12-20 22:07:00,327.44,0.019966981279008273,TP_SNIPER,NearLevel:324.42|Dist:0.0004,326.80854,319.10382,321.03,CLOSED
SN_210908,Sniper_1H_1m,LONG,2024-12-21 09:08:00,326.38,2024-12-21 10:37:00,324.25,-0.006526135179851693,SL_SNIPER,NearLevel:326.79|Dist:0.0026,332.25484,324.42172,326.38,CLOSED
SN_212119,Sniper_1H_1m,LONG,2024-12-21 21:19:00,298.76,2024-12-21 22:08:00,296.88,-0.0062926763957691645,SL_SNIPER,NearLevel:299.10|Dist:0.0009,304.13768,296.96744,298.76,CLOSED
SN_212212,Sniper_1H_1m,LONG,2024-12-21 22:12:00,296.14,2024-12-22 00:38:00,301.92,0.019517795637198722,TP_SNIPER,NearLevel:299.10|Dist:0.0028,301.47051999999996,294.36316,296.14,CLOSED
SN_220305,Sniper_1H_1m,LONG,2024-12-22 03:05:00,294.73,2024-12-22 05:05:00,292.57,-0.0073287415600720145,SL_SNIPER,NearLevel:299.10|Dist:0.0018,300.03514,292.96162000000004,294.73,CLOSED
SN_220803,Sniper_1H_1m,SHORT,2024-12-22 08:03:00,299.57,2024-12-22 08:09:00,301.52,-0.006509330039723566,SL_SNIPER,NearLevel:303.37|Dist:0.0013,294.17774,301.36742,299.57,CLOSED
SN_220810,Sniper_1H_1m,SHORT,2024-12-22 08:10:00,301.56,2024-12-22 08:45:00,303.98,-0.008024936994296378,SL_SNIPER,NearLevel:303.37|Dist:0.0013,296.13192,303.36936000000003,301.56,CLOSED
SN_221201,Sniper_1H_1m,SHORT,2024-12-22 12:01:00,308.74,2024-12-22 12:32:00,311.0,-0.007320075144134193,SL_SNIPER,NearLevel:307.30|Dist:0.0017,303.18268,310.59244,308.74,CLOSED
SN_221233,Sniper_1H_1m,SHORT,2024-12-22 12:33:00,311.0,2024-12-22 13:06:00,305.37,0.018102893890675226,TP_SNIPER,NearLevel:307.30|Dist:0.0017,305.402,312.866,311.0,CLOSED
SN_221333,Sniper_1H_1m,SHORT,2024-12-22 13:33:00,308.46,2024-12-22 14:08:00,302.38,0.01971082150035656,TP_SNIPER,NearLevel:304.16|Dist:0.0023,302.90772,310.31075999999996,308.46,CLOSED
SN_221416,Sniper_1H_1m,LONG,2024-12-22 14:16:00,302.47,2024-12-22 14:21:00,300.64,-0.006050186795384801,SL_SNIPER,NearLevel:294.50|Dist:0.0020,307.91446,300.65518000000003,302.47,CLOSED
SN_221426,Sniper_1H_1m,LONG,2024-12-22 14:26:00,299.24,2024-12-22 14:30:00,297.23,-0.006717016441652155,SL_SNIPER,NearLevel:294.50|Dist:0.0020,304.62632,297.44456,299.24,CLOSED
SN_221653,Sniper_1H_1m,SHORT,2024-12-22 16:53:00,309.45,2024-12-22 18:33:00,311.47,-0.006527710454031471,SL_SNIPER,NearLevel:308.55|Dist:0.0007,303.87989999999996,311.3067,309.45,CLOSED
SN_221834,Sniper_1H_1m,SHORT,2024-12-22 18:34:00,311.94,2024-12-22 19:32:00,305.9,0.01936269795473495,TP_SNIPER,NearLevel:308.55|Dist:0.0016,306.32508,313.81164,311.94,CLOSED
