Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,SL,Peak_Price,status,Rem_Qty,TP1_Hit,TP2_Hit
SN_202114,Sniper_Quality,LONG,2024-12-20 21:14:00,321.03,2024-12-20 21:29:00,321.88,0.0026477276267016254,SL_HIT,322.627,323.55,CLOSED,0.2,True,True
SN_210910,Sniper_Quality,LONG,2024-12-21 09:10:00,326.55,2024-12-21 09:43:00,326.38,-0.0005205940897259712,SL_HIT,326.6795,327.82,CLOSED,0.2,True,True
SN_220323,Sniper_Quality,SHORT,2024-12-22 03:23:00,298.0,2024-12-22 03:34:00,298.14,-0.00046979865771807505,SL_HIT,298.0,298.0,CLOSED,0.4,True,False
SN_220807,Sniper_Quality,SHORT,2024-12-22 08:07:00,300.5,2024-12-22 08:18:00,300.85,-0.001164725457570791,SL_HIT,300.5,300.5,CLOSED,0.4,True,False
SN_221256,Sniper_Quality,LONG,2024-12-22 12:56:00,307.04,2024-12-22 13:12:00,306.42,-0.002019280875455981,SL_HIT,307.04,307.04,CLOSED,0.4,True,False
SN_221428,Sniper_Quality,LONG,2024-12-22 14:28:00,297.88,2024-12-22 14:46:00,297.86,-6.71411306565792e-05,SL_HIT,297.88,297.88,CLOSED,0.4,True,False
SN_221833,Sniper_Quality,SHORT,2024-12-22 18:33:00,311.47,2024-12-22 19:16:00,308.33,0.010081227726586968,SL_HIT,308.12294999999995,306.59,CLOSED,0.2,True,True
SN_221957,Sniper_Quality,LONG,2024-12-22 19:57:00,301.01,2024-12-22 20:29:00,305.0,0.013255373575628747,SL_HIT,305.8033,307.34,CLOSED,0.2,True,True
SN_230028,Sniper_Quality,LONG,2024-12-23 00:28:00,314.48,2024-12-23 00:42:00,315.65,0.003720427372169801,SL_HIT,316.04185,317.63,CLOSED,0.2,True,True
SN_240109,Sniper_Quality,LONG,2024-12-24 01:09:00,377.88,2024-12-24 01:22:00,377.13,-0.001984757065735154,SL_HIT,377.88,377.88,CLOSED,0.4,True,False
SN_250611,Sniper_Quality,SHORT,2024-12-25 06:11:00,378.03,2024-12-25 06:20:00,383.02,-0.013200010581170832,SL_HIT,381.8103,378.03,CLOSED,1.0,False,False
SN_250621,Sniper_Quality,SHORT,2024-12-25 06:21:00,383.49,2024-12-25 06:52:00,377.4,0.0158804662442307,SL_HIT,376.7946,374.92,CLOSED,0.2,True,True
SN_250819,Sniper_Quality,SHORT,2024-12-25 08:19:00,385.24,2024-12-25 09:00:00,379.47,0.01497767625376384,SL_HIT,379.26689999999996,377.38,CLOSED,0.2,True,True
SN_251152,Sniper_Quality,LONG,2024-12-25 11:52:00,374.79,2024-12-25 12:01:00,370.85,-0.010512553696736832,SL_HIT,371.0421,374.79,CLOSED,1.0,False,False
SN_270134,Sniper_Quality,SHORT,2024-12-27 01:34:00,346.32,2024-12-27 01:41:00,349.92,-0.010395010395010462,SL_HIT,349.7832,346.32,CLOSED,1.0,False,False
SN_270142,Sniper_Quality,SHORT,2024-12-27 01:42:00,349.26,2024-12-27 02:07:00,347.98,0.0036648914848536125,SL_HIT,346.09184999999997,344.37,CLOSED,0.2,True,True
SN_270811,Sniper_Quality,SHORT,2024-12-27 08:11:00,340.87,2024-12-27 08:33:00,344.37,-0.010267844046117289,SL_HIT,344.2787,340.87,CLOSED,1.0,False,False
SN_270905,Sniper_Quality,SHORT,2024-12-27 09:05:00,348.44,2024-12-27 09:20:00,348.85,-0.0011766731718517536,SL_HIT,348.44,348.44,CLOSED,0.4,True,False
SN_271734,Sniper_Quality,SHORT,2024-12-27 17:34:00,326.02,2024-12-27 17:43:00,329.79,-0.01156370774799104,SL_HIT,329.2802,326.02,CLOSED,1.0,False,False
SN_271744,Sniper_Quality,SHORT,2024-12-27 17:44:00,329.72,2024-12-27 18:09:00,327.03,0.00815843746208921,SL_HIT,326.7175,325.76,CLOSED,0.2,True,True
SN_300016,Sniper_Quality,SHORT,2024-12-30 00:16:00,337.19,2024-12-30 00:52:00,336.9,0.0008600492304042839,SL_HIT,336.02175,334.35,CLOSED,0.2,True,True
SN_300123,Sniper_Quality,SHORT,2024-12-30 01:23:00,340.52,2024-12-30 01:48:00,342.03,-0.004434394455538561,SL_HIT,341.439,340.52,CLOSED,0.2,True,True
SN_300513,Sniper_Quality,SHORT,2024-12-30 05:13:00,338.85,2024-12-30 05:27:00,337.79,0.003128227829423055,SL_HIT,337.78,337.02,CLOSED,0.2,True,True
SN_301342,Sniper_Quality,LONG,2024-12-30 13:42:00,328.43,2024-12-30 13:51:00,325.13,-0.010047803184849165,SL_HIT,325.1457,328.43,CLOSED,1.0,False,False
SN_301434,Sniper_Quality,LONG,2024-12-30 14:34:00,322.8,2024-12-30 14:47:00,324.89,0.006474597273853701,SL_HIT,325.5043,327.14,CLOSED,0.2,True,True
SN_301507,Sniper_Quality,SHORT,2024-12-30 15:07:00,330.07,2024-12-30 15:20:00,328.81,0.003817372072590635,SL_HIT,328.661,327.26,CLOSED,0.2,True,True
SN_302312,Sniper_Quality,LONG,2024-12-30 23:12:00,320.34,2024-12-31 00:04:00,320.35,3.121683211602594e-05,SL_HIT,320.73825,322.35,CLOSED,0.2,True,True
SN_311319,Sniper_Quality,SHORT,2024-12-31 13:19:00,317.14,2024-12-31 13:35:00,320.42,-0.010342435517437187,SL_HIT,320.3114,317.14,CLOSED,1.0,False,False
SN_311802,Sniper_Quality,SHORT,2024-12-31 18:02:00,312.33,2024-12-31 18:14:00,312.34,-3.201741747507734e-05,SL_HIT,312.33,312.33,CLOSED,0.4,True,False
SN_021738,Sniper_Quality,LONG,2025-01-02 17:38:00,334.36,2025-01-02 18:00:00,334.1,-0.0007776049766718235,SL_HIT,334.36,334.36,CLOSED,0.4,True,False
SN_031234,Sniper_Quality,SHORT,2025-01-03 12:34:00,334.92,2025-01-03 13:10:00,331.27,0.01089812492535541,SL_HIT,330.59475,328.95,CLOSED,0.2,True,True
