Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,Mode,status
SW_232000,Swing_SWING_HEDGE,LONG,2024-12-23 20:00:00,364.72,2024-12-24 01:00:00,375.79,0.03035205088835269,SL_HIT,SWING_HEDGE|DistMacro:0.103,393.89760000000007,380.534,388.3,SWING_HEDGE,CLOSED
SW_240600,Swing_SWING_NORMAL,SHORT,2024-12-24 06:00:00,378.83,2024-12-26 20:00:00,332.72,0.12171686508460249,TP_HIT,SWING_NORMAL|DistMacro:0.025,333.37039999999996,340.9248,332.72,SWING_NORMAL,CLOSED
SW_271500,Swing_SWING_HEDGE,SHORT,2024-12-27 15:00:00,325.67,2024-12-28 13:00:00,337.17,-0.03531181871219332,SL_HIT,SWING_HEDGE|DistMacro:0.081,299.61640000000006,335.44010000000003,321.7,SWING_HEDGE,CLOSED
SW_311100,Swing_SWING_NORMAL,LONG,2024-12-31 11:00:00,312.33,2025-01-03 00:00:00,329.88,0.05619056766881187,SL_HIT,SWING_NORMAL|DistMacro:0.010,349.8096,329.9758,336.71,SWING_NORMAL,CLOSED
SW_040200,Swing_SWING_NORMAL,SHORT,2025-01-04 02:00:00,344.55,2025-01-04 13:00:00,359.29,-0.042780438252793526,SL_HIT,SWING_NORMAL|DistMacro:0.006,303.204,358.33200000000005,339.69,SWING_NORMAL,CLOSED
SW_091300,Swing_SWING_HEDGE,SHORT,2025-01-09 13:00:00,275.36,2025-01-09 15:00:00,287.91,-0.04557669959325977,SL_HIT,SWING_HEDGE|DistMacro:0.088,253.33120000000002,283.62080000000003,275.36,SWING_HEDGE,CLOSED
SW_160200,Swing_SWING_NORMAL,SHORT,2025-01-16 02:00:00,314.41,2025-01-17 10:00:00,327.92,-0.04296937120320597,SL_HIT,SWING_NORMAL|DistMacro:0.005,276.68080000000003,326.98640000000006,306.72,SWING_NORMAL,CLOSED
SW_251700,Swing_SWING_NORMAL,LONG,2025-01-25 17:00:00,330.67,2025-01-26 23:00:00,316.35,-0.04330601506033203,SL_HIT,SWING_NORMAL|DistMacro:0.009,370.35040000000004,317.4432,334.28,SWING_NORMAL,CLOSED
SW_021500,Swing_SWING_NORMAL,LONG,2025-02-02 15:00:00,285.05,2025-02-02 17:00:00,265.48,-0.068654621996141,SL_HIT,SWING_NORMAL|DistMacro:0.008,319.25600000000003,273.648,285.05,SWING_NORMAL,CLOSED
SW_030900,Swing_SWING_NORMAL,LONG,2025-02-03 09:00:00,237.87,2025-02-03 19:00:00,276.0,0.16029764156892418,TP_HIT,SWING_NORMAL|DistMacro:0.021,266.41440000000006,258.9454,276.0,SWING_NORMAL,CLOSED
