Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,status
TH_211130,Gamma_Hybrid,LONG,2024-12-21 11:30:00,321.44,2024-12-21 13:00:00,310.89,-0.03282105525136888,SL_ATR_DYNAMIC,RSI_Reversal,340.73,310.94214285714287,321.48,CLOSED
TH_211330,Gamma_Hybrid,LONG,2024-12-21 13:30:00,308.31,2024-12-22 03:00:00,294.54,-0.044662839350004806,SL_ATR_DYNAMIC,RSI_Reversal,326.81,294.95785714285716,309.36,CLOSED
TH_220845,Gamma_Hybrid,SHORT,2024-12-22 08:45:00,302.97,2024-12-22 20:45:00,314.41,-0.03775951414331451,SL_ATR_DYNAMIC,RSI_Reversal,258.07,310.95428571428573,295.08,CLOSED
TH_231100,Gamma_Hybrid,SHORT,2024-12-23 11:00:00,337.88,2024-12-23 16:45:00,350.2,-0.0364626494613472,SL_ATR_DYNAMIC,RSI_Reversal,264.85,349.23285714285714,329.89,CLOSED
TH_231845,Gamma_Hybrid,SHORT,2024-12-23 18:45:00,352.25,2024-12-23 21:00:00,372.08,-0.056295244854506696,SL_ATR_DYNAMIC,RSI_Reversal,319.38,368.51214285714286,352.25,CLOSED
TH_232130,Gamma_Hybrid,SHORT,2024-12-23 21:30:00,370.0,2024-12-23 22:45:00,388.3,-0.04945945945945949,SL_ATR_DYNAMIC,RSI_Reversal,319.38,385.13714285714286,370.0,CLOSED
TH_232300,Gamma_Hybrid,SHORT,2024-12-23 23:00:00,383.61,2024-12-26 21:30:00,335.84,0.12452751492401146,TRAILING_STOP_SMART,RSI_Reversal,319.38,400.8514285714286,330.72,CLOSED
TH_270515,Gamma_Hybrid,LONG,2024-12-27 05:15:00,339.22,2024-12-27 14:30:00,327.08,-0.03578798419904499,SL_ATR_DYNAMIC,RSI_Reversal,362.95,330.4535714285714,349.86,CLOSED
TH_271545,Gamma_Hybrid,LONG,2024-12-27 15:45:00,325.67,2024-12-31 00:30:00,316.62,-0.027788866030030432,SL_ATR_DYNAMIC,RSI_Reversal,363.94,316.6592857142858,357.3,CLOSED
TH_310100,Gamma_Hybrid,LONG,2024-12-31 01:00:00,312.91,2025-01-03 17:45:00,349.06,0.11552842670416405,TRAILING_STOP_SMART,RSI_Reversal,359.68,304.65571428571434,355.5,CLOSED
