Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,Mode,status
TH_211130,Gamma_HEDGE_REVERSAL,SHORT,2024-12-21 11:30:00,321.44,2024-12-21 13:15:00,304.29,0.053353658536585295,TP_HIT,HEDGE_REVERSAL|MACD:-1.1516|Dist:999.000,306.9752,313.9989,304.29,HEDGE_REVERSAL,CLOSED
TH_211330,Gamma_HEDGE_REVERSAL,SHORT,2024-12-21 13:30:00,308.31,2024-12-21 22:15:00,299.82,0.0275372190327917,SL_HIT,HEDGE_REVERSAL|MACD:-1.5567|Dist:999.000,294.43604999999997,299.7276,296.76,HEDGE_REVERSAL,CLOSED
TH_231100,Gamma_HEDGE_REVERSAL,LONG,2024-12-23 11:00:00,337.88,2024-12-23 15:00:00,329.89,-0.023647448798389988,SL_HIT,HEDGE_REVERSAL|MACD:0.2111|Dist:0.016,353.08459999999997,332.8118,340.48,HEDGE_REVERSAL,CLOSED
TH_231845,Gamma_HEDGE_REVERSAL,LONG,2024-12-23 18:45:00,352.25,2024-12-23 21:00:00,372.08,0.056295244854506696,TP_HIT,HEDGE_REVERSAL|MACD:0.9611|Dist:0.028,368.10125,361.07280000000003,372.08,HEDGE_REVERSAL,CLOSED
TH_232130,Gamma_HEDGE_REVERSAL,LONG,2024-12-23 21:30:00,370.0,2024-12-23 22:45:00,388.3,0.04945945945945949,TP_HIT,HEDGE_REVERSAL|MACD:1.0981|Dist:0.076,386.65,379.9818,388.3,HEDGE_REVERSAL,CLOSED
TH_232300,Gamma_HEDGE_REVERSAL,LONG,2024-12-23 23:00:00,383.61,2024-12-24 01:15:00,375.86,-0.020202810145720913,SL_HIT,HEDGE_REVERSAL|MACD:1.5752|Dist:0.107,400.87245,377.85585000000003,386.12,HEDGE_REVERSAL,CLOSED
TH_260415,Gamma_HEDGE_REVERSAL,SHORT,2024-12-26 04:15:00,355.4,2024-12-26 10:30:00,339.2,0.04558244231851432,TP_HIT,HEDGE_REVERSAL|MACD:-0.5187|Dist:0.030,339.407,342.96569999999997,339.2,HEDGE_REVERSAL,CLOSED
TH_271545,Gamma_HEDGE_REVERSAL,SHORT,2024-12-27 15:45:00,325.67,2024-12-27 17:15:00,324.51,0.00356188780053436,SL_HIT,HEDGE_REVERSAL|MACD:-1.1839|Dist:0.022,311.01485,324.3211,321.11,HEDGE_REVERSAL,CLOSED
TH_291645,Gamma_HEDGE_REVERSAL,SHORT,2024-12-29 16:45:00,331.61,2024-12-30 00:00:00,337.46,-0.017641205030005023,SL_HIT,HEDGE_REVERSAL|MACD:-0.5023|Dist:0.016,316.68755,336.58414999999997,327.64,HEDGE_REVERSAL,CLOSED
TH_310100,Gamma_HEDGE_REVERSAL,SHORT,2024-12-31 01:00:00,312.91,2024-12-31 13:15:00,319.01,-0.0194944233166085,SL_HIT,HEDGE_REVERSAL|MACD:-1.0126|Dist:0.024,298.82905,317.60365,308.96,HEDGE_REVERSAL,CLOSED
TH_012100,Gamma_HEDGE_REVERSAL,LONG,2025-01-01 21:00:00,319.66,2025-01-02 00:45:00,324.82,0.016142151035475092,SL_HIT,HEDGE_REVERSAL|MACD:0.3800|Dist:0.015,334.0447,324.9081,328.19,HEDGE_REVERSAL,CLOSED
TH_030600,Gamma_HEDGE_REVERSAL,SHORT,2025-01-03 06:00:00,325.53,2025-01-03 09:00:00,322.23,0.010137314533222606,SL_HIT,HEDGE_REVERSAL|MACD:-0.1267|Dist:0.020,310.88114999999993,321.6648,318.48,HEDGE_REVERSAL,CLOSED
TH_031530,Gamma_HEDGE_REVERSAL,LONG,2025-01-03 15:30:00,347.11,2025-01-03 17:00:00,351.11,0.011523724467747975,SL_HIT,HEDGE_REVERSAL|MACD:1.4528|Dist:0.021,362.72995,351.945,355.5,HEDGE_REVERSAL,CLOSED
TH_071545,Gamma_HEDGE_REVERSAL,SHORT,2025-01-07 15:45:00,315.71,2025-01-07 21:00:00,310.68,0.015932342972981448,SL_HIT,HEDGE_REVERSAL|MACD:-1.8173|Dist:0.066,301.50305,309.9084,306.84,HEDGE_REVERSAL,CLOSED
TH_080500,Gamma_HEDGE_REVERSAL,SHORT,2025-01-08 05:00:00,301.43,2025-01-08 07:00:00,295.14,0.020867199681518164,SL_HIT,HEDGE_REVERSAL|MACD:-0.3521|Dist:0.043,287.86565,294.8897,291.97,HEDGE_REVERSAL,CLOSED
TH_130415,Gamma_HEDGE_REVERSAL,SHORT,2025-01-13 04:15:00,282.31,2025-01-13 07:15:00,273.84,0.030002479543764043,SL_HIT,HEDGE_REVERSAL|MACD:-0.3917|Dist:0.014,269.60605,273.5686,270.86,HEDGE_REVERSAL,CLOSED
TH_130945,Gamma_HEDGE_REVERSAL,SHORT,2025-01-13 09:45:00,267.63,2025-01-13 12:00:00,261.75,0.021970631095168686,SL_HIT,HEDGE_REVERSAL|MACD:-0.2533|Dist:0.063,255.58665,259.09529999999995,256.53,HEDGE_REVERSAL,CLOSED
TH_151630,Gamma_HEDGE_REVERSAL,LONG,2025-01-15 16:30:00,315.9,2025-01-15 20:30:00,318.63,0.008641975308642033,SL_HIT,HEDGE_REVERSAL|MACD:1.3743|Dist:0.038,330.11549999999994,319.31460000000004,322.54,HEDGE_REVERSAL,CLOSED
TH_172115,Gamma_HEDGE_REVERSAL,LONG,2025-01-17 21:15:00,333.01,2025-01-18 01:45:00,336.1,0.00927900063061179,SL_HIT,HEDGE_REVERSAL|MACD:0.8389|Dist:0.014,347.99544999999995,336.204,339.6,HEDGE_REVERSAL,CLOSED
TH_180600,Gamma_HEDGE_REVERSAL,SHORT,2025-01-18 06:00:00,316.72,2025-01-18 11:15:00,311.42,0.01673402374336957,SL_HIT,HEDGE_REVERSAL|MACD:-1.4073|Dist:0.017,302.4676,311.0295,307.95,HEDGE_REVERSAL,CLOSED
