Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,Mode,status
TH_211130,Gamma_HEDGE_REVERSAL,SHORT,2024-12-21 11:30:00,321.44,2024-12-21 13:30:00,308.31,0.04084743653558983,SL_HIT,HEDGE_REVERSAL|MACD:-1.1516|Dist:999.000,294.1176,307.3329,304.29,HEDGE_REVERSAL,CLOSED
TH_211400,Gamma_HEDGE_REVERSAL,SHORT,2024-12-21 14:00:00,309.36,2024-12-21 22:15:00,299.82,0.03083785880527547,SL_HIT,HEDGE_REVERSAL|MACD:-1.0261|Dist:999.000,283.06440000000003,299.7276,296.76,HEDGE_REVERSAL,CLOSED
TH_231100,Gamma_HEDGE_REVERSAL,LONG,2024-12-23 11:00:00,337.88,2024-12-23 15:00:00,329.89,-0.023647448798389988,SL_HIT,HEDGE_REVERSAL|MACD:0.2111|Dist:0.016,366.59979999999996,332.8118,340.48,HEDGE_REVERSAL,CLOSED
TH_231845,Gamma_HEDGE_REVERSAL,LONG,2024-12-23 18:45:00,352.25,2024-12-23 22:15:00,382.45,0.08573456352022708,TP_HIT,HEDGE_REVERSAL|MACD:0.9611|Dist:0.028,382.19124999999997,372.22020000000003,382.45,HEDGE_REVERSAL,CLOSED
TH_232300,Gamma_HEDGE_REVERSAL,LONG,2024-12-23 23:00:00,383.61,2024-12-24 01:15:00,375.86,-0.020202810145720913,SL_HIT,HEDGE_REVERSAL|MACD:1.5752|Dist:0.107,416.21685,377.85585000000003,386.12,HEDGE_REVERSAL,CLOSED
TH_260415,Gamma_HEDGE_REVERSAL,SHORT,2024-12-26 04:15:00,355.4,2024-12-26 11:15:00,343.14,0.03449634214969047,SL_HIT,HEDGE_REVERSAL|MACD:-0.5187|Dist:0.030,325.191,342.592,339.2,HEDGE_REVERSAL,CLOSED
TH_271545,Gamma_HEDGE_REVERSAL,SHORT,2024-12-27 15:45:00,325.67,2024-12-28 12:00:00,331.99,-0.01940614732704883,SL_HIT,HEDGE_REVERSAL|MACD:-1.1839|Dist:0.022,297.98805000000004,330.55505,320.08,HEDGE_REVERSAL,CLOSED
TH_291645,Gamma_HEDGE_REVERSAL,SHORT,2024-12-29 16:45:00,331.61,2024-12-30 00:00:00,337.46,-0.017641205030005023,SL_HIT,HEDGE_REVERSAL|MACD:-0.5023|Dist:0.016,303.42315,336.58414999999997,327.64,HEDGE_REVERSAL,CLOSED
TH_310100,Gamma_HEDGE_REVERSAL,SHORT,2024-12-31 01:00:00,312.91,2024-12-31 13:15:00,319.01,-0.0194944233166085,SL_HIT,HEDGE_REVERSAL|MACD:-1.0126|Dist:0.024,286.31265,317.60365,308.96,HEDGE_REVERSAL,CLOSED
TH_012100,Gamma_HEDGE_REVERSAL,LONG,2025-01-01 21:00:00,319.66,2025-01-02 08:15:00,331.36,0.036601388975786735,SL_HIT,HEDGE_REVERSAL|MACD:0.3800|Dist:0.015,346.8311,331.6599,335.01,HEDGE_REVERSAL,CLOSED
TH_030600,Gamma_HEDGE_REVERSAL,SHORT,2025-01-03 06:00:00,325.53,2025-01-03 12:00:00,331.33,-0.017817098270512737,SL_HIT,HEDGE_REVERSAL|MACD:-0.1267|Dist:0.020,297.85994999999997,330.41294999999997,318.48,HEDGE_REVERSAL,CLOSED
TH_031530,Gamma_HEDGE_REVERSAL,LONG,2025-01-03 15:30:00,347.11,2025-01-04 02:15:00,341.34,-0.016622972544726566,SL_HIT,HEDGE_REVERSAL|MACD:1.4528|Dist:0.021,376.61435,341.90335,355.5,HEDGE_REVERSAL,CLOSED
TH_071545,Gamma_HEDGE_REVERSAL,SHORT,2025-01-07 15:45:00,315.71,2025-01-08 07:00:00,295.14,0.0651547306072028,SL_HIT,HEDGE_REVERSAL|MACD:-1.8173|Dist:0.066,288.87465,294.8897,291.97,HEDGE_REVERSAL,CLOSED
TH_130415,Gamma_HEDGE_REVERSAL,SHORT,2025-01-13 04:15:00,282.31,2025-01-13 07:15:00,273.84,0.030002479543764043,SL_HIT,HEDGE_REVERSAL|MACD:-0.3917|Dist:0.014,258.31365,273.5686,270.86,HEDGE_REVERSAL,CLOSED
TH_130945,Gamma_HEDGE_REVERSAL,SHORT,2025-01-13 09:45:00,267.63,2025-01-13 12:00:00,261.75,0.021970631095168686,SL_HIT,HEDGE_REVERSAL|MACD:-0.2533|Dist:0.063,244.88145,259.09529999999995,256.53,HEDGE_REVERSAL,CLOSED
TH_151630,Gamma_HEDGE_REVERSAL,LONG,2025-01-15 16:30:00,315.9,2025-01-16 03:45:00,310.64,-0.01665083887306107,SL_HIT,HEDGE_REVERSAL|MACD:1.3743|Dist:0.038,342.75149999999996,311.1615,322.54,HEDGE_REVERSAL,CLOSED
TH_172115,Gamma_HEDGE_REVERSAL,LONG,2025-01-17 21:15:00,333.01,2025-01-18 03:30:00,325.01,-0.02402330260352542,SL_HIT,HEDGE_REVERSAL|MACD:0.8389|Dist:0.014,361.31584999999995,328.01484999999997,339.6,HEDGE_REVERSAL,CLOSED
TH_180600,Gamma_HEDGE_REVERSAL,SHORT,2025-01-18 06:00:00,316.72,2025-01-19 02:15:00,322.77,-0.019102045971204705,SL_HIT,HEDGE_REVERSAL|MACD:-1.4073|Dist:0.017,289.7988,321.4708,307.95,HEDGE_REVERSAL,CLOSED
TH_190930,Gamma_HEDGE_REVERSAL,SHORT,2025-01-19 09:30:00,301.44,2025-01-19 13:45:00,312.25,-0.03586119957537156,SL_HIT,HEDGE_REVERSAL|MACD:-0.8167|Dist:0.017,275.8176,305.9616,294.48,HEDGE_REVERSAL,CLOSED
TH_191515,Gamma_HEDGE_REVERSAL,LONG,2025-01-19 15:15:00,328.83,2025-01-19 18:15:00,343.7,0.0452209348295472,SL_HIT,HEDGE_REVERSAL|MACD:3.8449|Dist:0.014,356.78054999999995,343.74780000000004,347.22,HEDGE_REVERSAL,CLOSED
