Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,status
TH_202412202100,TrendHunter_Gamma,LONG,2024-12-20 21:00:00,321.03,2024-12-21 05:30:00,337.76,0.052113509640843596,TP_FIBONACCI_EXT,Trend_Impulse,337.08,305.26071428571424,337.76,CLOSED
TH_202412210745,TrendHunter_Gamma,LONG,2024-12-21 07:45:00,336.71,2024-12-21 10:30:00,322.94,-0.04089572629265535,SL_ATR_DYNAMIC,Trend_Impulse,353.55,324.99928571428575,336.71,CLOSED
TH_202412212230,TrendHunter_Gamma,SHORT,2024-12-21 22:30:00,300.64,2024-12-22 12:30:00,310.52,-0.03286322511974453,SL_ATR_DYNAMIC,Trend_Impulse,285.61,310.43071428571426,292.88,CLOSED
TH_202412231300,TrendHunter_Gamma,LONG,2024-12-23 13:00:00,335.34,2024-12-23 22:00:00,375.98,0.1211904335897896,TP_FIBONACCI_EXT,Trend_Impulse,372.12,325.78928571428565,375.98,CLOSED
TH_202412240115,TrendHunter_Gamma,LONG,2024-12-24 01:15:00,375.86,2024-12-26 02:45:00,358.3,-0.04671952322673336,SL_ATR_DYNAMIC,Trend_Impulse,428.29,359.0407142857143,384.3,CLOSED
TH_202412261115,TrendHunter_Gamma,SHORT,2024-12-26 11:15:00,343.14,2024-12-26 11:30:00,341.75,0.004050824736259213,TP_FIBONACCI_EXT,Trend_Impulse,352.03,352.005,341.75,CLOSED
TH_202412261400,TrendHunter_Gamma,SHORT,2024-12-26 14:00:00,341.17,2024-12-26 14:15:00,338.42,0.008060497699094293,TP_FIBONACCI_EXT,Trend_Impulse,352.03,347.9842857142857,338.42,CLOSED
TH_202412261515,TrendHunter_Gamma,SHORT,2024-12-26 15:15:00,338.07,2024-12-26 15:30:00,335.72,0.006951223119472198,TP_FIBONACCI_EXT,Trend_Impulse,352.03,345.2592857142857,335.72,CLOSED
TH_202412261600,TrendHunter_Gamma,SHORT,2024-12-26 16:00:00,338.15,2024-12-26 16:15:00,337.42,0.0021588052639360087,TP_FIBONACCI_EXT,Trend_Impulse,352.03,346.16857142857134,337.42,CLOSED
TH_202412261630,TrendHunter_Gamma,SHORT,2024-12-26 16:30:00,338.46,2024-12-26 16:45:00,338.31,0.00044318383265371766,TP_FIBONACCI_EXT,Trend_Impulse,352.03,346.58571428571423,338.31,CLOSED
TH_202412261700,TrendHunter_Gamma,SHORT,2024-12-26 17:00:00,338.22,2024-12-26 17:15:00,334.53,0.010910058541777701,TP_FIBONACCI_EXT,Trend_Impulse,352.03,345.93642857142856,334.53,CLOSED
TH_202412261900,TrendHunter_Gamma,SHORT,2024-12-26 19:00:00,335.38,2024-12-26 19:15:00,334.84,0.00161011390065007,TP_FIBONACCI_EXT,Trend_Impulse,352.03,341.95214285714286,334.84,CLOSED
TH_202412261945,TrendHunter_Gamma,SHORT,2024-12-26 19:45:00,336.05,2024-12-26 20:00:00,335.13,0.00273768784407087,TP_FIBONACCI_EXT,Trend_Impulse,352.03,342.2578571428572,335.13,CLOSED
TH_202412262115,TrendHunter_Gamma,SHORT,2024-12-26 21:15:00,333.64,2024-12-26 22:15:00,340.17,-0.019571993765735613,SL_ATR_DYNAMIC,Trend_Impulse,295.91,339.9485714285714,333.64,CLOSED
TH_202412271730,TrendHunter_Gamma,SHORT,2024-12-27 17:30:00,329.72,2024-12-28 18:15:00,340.97,-0.034119859274535966,SL_ATR_DYNAMIC,Trend_Impulse,300.66,340.02500000000003,320.08,CLOSED
TH_202412290000,TrendHunter_Gamma,LONG,2024-12-29 00:00:00,350.21,2024-12-29 08:45:00,337.36,-0.036692270352074376,SL_ATR_DYNAMIC,Trend_Impulse,388.85,337.70214285714286,350.21,CLOSED
TH_202412292115,TrendHunter_Gamma,SHORT,2024-12-29 21:15:00,330.2,2024-12-30 00:00:00,337.46,-0.021986674742580228,SL_ATR_DYNAMIC,Trend_Impulse,321.29,334.7685714285714,327.64,CLOSED
TH_202412300330,TrendHunter_Gamma,LONG,2024-12-30 03:30:00,338.4,2024-12-30 13:45:00,326.04,-0.03652482269503533,SL_ATR_DYNAMIC,Trend_Impulse,356.37,328.17214285714283,340.44,CLOSED
TH_202412301630,TrendHunter_Gamma,SHORT,2024-12-30 16:30:00,330.09,2024-12-31 11:00:00,313.05,0.05162228483140951,TRAILING_STOP_SMART,Trend_Impulse,306.17,342.4092857142857,308.96,CLOSED
TH_202412312145,TrendHunter_Gamma,SHORT,2024-12-31 21:45:00,309.95,2025-01-01 02:00:00,315.72,-0.01861590579125678,SL_ATR_DYNAMIC,Trend_Impulse,291.86,314.765,308.7,CLOSED
TH_202501011415,TrendHunter_Gamma,LONG,2025-01-01 14:15:00,313.27,2025-01-02 00:15:00,326.9,0.04350879433076897,TP_FIBONACCI_EXT,Trend_Impulse,323.35,305.57928571428573,326.9,CLOSED
TH_202501020145,TrendHunter_Gamma,LONG,2025-01-02 01:45:00,322.5,2025-01-02 02:45:00,324.3,0.005581395348837245,TP_FIBONACCI_EXT,Trend_Impulse,323.35,313.6692857142857,324.3,CLOSED
TH_202501020300,TrendHunter_Gamma,LONG,2025-01-02 03:00:00,322.13,2025-01-02 03:15:00,323.53,0.004346071461832109,TP_FIBONACCI_EXT,Trend_Impulse,323.35,312.55357142857144,323.53,CLOSED
TH_202501020330,TrendHunter_Gamma,LONG,2025-01-02 03:30:00,322.65,2025-01-02 04:15:00,323.67,0.0031613203161321517,TP_FIBONACCI_EXT,Trend_Impulse,323.35,313.27714285714285,323.67,CLOSED
TH_202501020815,TrendHunter_Gamma,LONG,2025-01-02 08:15:00,331.36,2025-01-02 08:30:00,331.1,-0.0007846450989859696,TP_FIBONACCI_EXT,Trend_Impulse,323.35,322.7542857142857,331.36,CLOSED
TH_202501020900,TrendHunter_Gamma,LONG,2025-01-02 09:00:00,332.03,2025-01-02 09:15:00,333.57,0.004638135108273411,TP_FIBONACCI_EXT,Trend_Impulse,323.35,324.1828571428571,333.57,CLOSED
TH_202501020930,TrendHunter_Gamma,LONG,2025-01-02 09:30:00,331.84,2025-01-02 09:45:00,334.52,0.008076181292189028,TP_FIBONACCI_EXT,Trend_Impulse,323.35,324.5521428571428,334.52,CLOSED
TH_202501021000,TrendHunter_Gamma,LONG,2025-01-02 10:00:00,332.27,2025-01-02 10:15:00,333.56,0.003882384807536102,TP_FIBONACCI_EXT,Trend_Impulse,323.35,324.58785714285716,333.56,CLOSED
TH_202501021115,TrendHunter_Gamma,LONG,2025-01-02 11:15:00,333.98,2025-01-02 11:30:00,334.14,0.0004790706030300262,TP_FIBONACCI_EXT,Trend_Impulse,323.35,326.0707142857143,334.14,CLOSED
TH_202501021145,TrendHunter_Gamma,LONG,2025-01-02 11:45:00,333.69,2025-01-02 12:00:00,334.55,0.002577242350684808,TP_FIBONACCI_EXT,Trend_Impulse,323.35,326.0957142857143,334.55,CLOSED
TH_202501021215,TrendHunter_Gamma,LONG,2025-01-02 12:15:00,332.45,2025-01-02 12:30:00,332.14,-0.0009324710482779434,TP_FIBONACCI_EXT,Trend_Impulse,323.35,324.7035714285714,332.45,CLOSED
